Dataset,Param_set,F1_score,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample
Loan,40,0.9734848484848485,0.7480634801021777,0.0010921641411931137,19,46,4326,114,0.9854479908357011
Machine,40,0.9,0.7480634801021777,0.0010921641411931137,19,46,4326,114,0.9854479908357011
personality,41,0.9179190751445087,0.941203782186944,0.005362726012764436,23,32,1234,86,0.6677970986744369
Heart,41,0.8947368421052632,0.941203782186944,0.005362726012764436,23,32,1234,86,0.6677970986744369
Loan,41,0.973384030418251,0.941203782186944,0.005362726012764436,23,32,1234,86,0.6677970986744369
Machine,41,0.907563025210084,0.941203782186944,0.005362726012764436,23,32,1234,86,0.6677970986744369
personality,42,0.8779342723004695,0.82272050498334,0.20843415633790466,5,46,3913,133,0.8460028906796679
Heart,42,0.8762541806020067,0.82272050498334,0.20843415633790466,5,46,3913,133,0.8460028906796679
Loan,42,0.9811320754716981,0.82272050498334,0.20843415633790466,5,46,3913,133,0.8460028906796679
Machine,42,0.8680851063829788,0.82272050498334,0.20843415633790466,5,46,3913,133,0.8460028906796679
personality,43,0.8987194412107101,0.9960215400417053,0.0022233359564816555,12,2,4107,36,0.9394679179698697
Heart,43,0.8770764119601329,0.9960215400417053,0.0022233359564816555,12,2,4107,36,0.9394679179698697
Loan,43,0.9639468690702088,0.9960215400417053,0.0022233359564816555,12,2,4107,36,0.9394679179698697
Machine,43,0.9121338912133892,0.9960215400417053,0.0022233359564816555,12,2,4107,36,0.9394679179698697
personality,44,0.8961493582263711,0.6546485325768115,0.0570241076852866,9,93,2856,45,0.9240453578716723
Heart,44,0.875,0.6546485325768115,0.0570241076852866,9,93,2856,45,0.9240453578716723
Loan,44,0.9772727272727273,0.6546485325768115,0.0570241076852866,9,93,2856,45,0.9240453578716723
Machine,44,0.8851063829787233,0.6546485325768115,0.0570241076852866,9,93,2856,45,0.9240453578716723
personality,45,0.87953216374269,0.9468289274320415,0.18289742175371337,9,57,4181,39,0.8599855723111061
Heart,45,0.8675496688741722,0.9468289274320415,0.18289742175371337,9,57,4181,39,0.8599855723111061
Loan,45,0.9791271347248577,0.9468289274320415,0.18289742175371337,9,57,4181,39,0.8599855723111061
Machine,45,0.8658008658008658,0.9468289274320415,0.18289742175371337,9,57,4181,39,0.8599855723111061
personality,46,0.8961493582263711,0.8807867509030813,0.09359980324420485,14,87,1216,111,0.8315459582030235
Heart,46,0.8778877887788779,0.8807867509030813,0.09359980324420485,14,87,1216,111,0.8315459582030235
Loan,46,0.9732824427480916,0.8807867509030813,0.09359980324420485,14,87,1216,111,0.8315459582030235
Machine,46,0.8717948717948718,0.8807867509030813,0.09359980324420485,14,87,1216,111,0.8315459582030235
personality,47,0.8852459016393442,0.7753896492072347,0.04620513287041674,21,25,3819,82,0.9927363553242124
Heart,47,0.8903654485049833,0.7753896492072347,0.04620513287041674,21,25,3819,82,0.9927363553242124
Loan,47,0.9772727272727273,0.7753896492072347,0.04620513287041674,21,25,3819,82,0.9927363553242124
Machine,47,0.8813559322033898,0.7753896492072347,0.04620513287041674,21,25,3819,82,0.9927363553242124
personality,48,0.8802816901408451,0.9355734008277453,0.13530896363272385,19,52,4827,89,0.7213062058692892
Heart,48,0.8741721854304636,0.9355734008277453,0.13530896363272385,19,52,4827,89,0.7213062058692892
Loan,48,0.9770992366412213,0.9355734008277453,0.13530896363272385,19,52,4827,89,0.7213062058692892
Machine,48,0.8620689655172413,0.9355734008277453,0.13530896363272385,19,52,4827,89,0.7213062058692892
personality,49,0.9120370370370371,0.8148329708786621,0.006443988162165167,10,53,3101,127,0.8491561903276001
Heart,49,0.8990228013029316,0.8148329708786621,0.006443988162165167,10,53,3101,127,0.8491561903276001
Loan,49,0.9734848484848485,0.8148329708786621,0.006443988162165167,10,53,3101,127,0.8491561903276001
Machine,49,0.8983050847457628,0.8148329708786621,0.006443988162165167,10,53,3101,127,0.8491561903276001
personality,50,0.9187935034802784,0.6341389859975072,0.0013428326429756015,22,94,4192,118,0.8549719605992826
Heart,50,0.9090909090909091,0.6341389859975072,0.0013428326429756015,22,94,4192,118,0.8549719605992826
Loan,50,0.9715370018975332,0.6341389859975072,0.0013428326429756015,22,94,4192,118,0.8549719605992826
Machine,50,0.8870292887029289,0.6341389859975072,0.0013428326429756015,22,94,4192,118,0.8549719605992826
