Dataset,Param_set,F1_score,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,Avg_F1
Loan,37,0.9792060491493384,0.794696861183782,0.1755967873387636,10,98,4943,116,0.8307615538505436,0.894356611120678
Machine,37,0.8669527896995708,0.794696861183782,0.1755967873387636,10,98,4943,116,0.8307615538505436,0.894356611120678
personality,38,0.9191685912240184,0.7970070775275455,0.0030453734341095,12,48,4804,23,0.6097263865725815,0.9188550692301704
Heart,38,0.8910891089108911,0.7970070775275455,0.0030453734341095,12,48,4804,23,0.6097263865725815,0.9188550692301704
Loan,38,0.9753320683111956,0.7970070775275455,0.0030453734341095,12,48,4804,23,0.6097263865725815,0.9188550692301704
Machine,38,0.8898305084745762,0.7970070775275455,0.0030453734341095,12,48,4804,23,0.6097263865725815,0.9188550692301704
personality,39,0.9191685912240184,0.858188918362867,0.0027461523576079,11,30,2574,65,0.9659457560881796,0.9225386331926121
Heart,39,0.9019607843137256,0.858188918362867,0.0027461523576079,11,30,2574,65,0.9659457560881796,0.9225386331926121
Loan,39,0.9773584905660376,0.858188918362867,0.0027461523576079,11,30,2574,65,0.9659457560881796,0.9225386331926121
Machine,39,0.8916666666666667,0.858188918362867,0.0027461523576079,11,30,2574,65,0.9659457560881796,0.9225386331926121
personality,40,0.9187935034802784,0.7480634801021777,0.0010921641411931,12,46,4326,114,0.9854479908357012,0.9260826173072426
Heart,40,0.9120521172638436,0.7480634801021777,0.0010921641411931,12,46,4326,114,0.9854479908357012,0.9260826173072426
Loan,40,0.9734848484848484,0.7480634801021777,0.0010921641411931,12,46,4326,114,0.9854479908357012,0.9260826173072426
Machine,40,0.9,0.7480634801021777,0.0010921641411931,12,46,4326,114,0.9854479908357012,0.9260826173072426
personality,41,0.9179190751445088,0.941203782186944,0.0053627260127644,12,32,1234,86,0.6677970986744369,0.9234007432195267
Heart,41,0.8947368421052632,0.941203782186944,0.0053627260127644,12,32,1234,86,0.6677970986744369,0.9234007432195267
Loan,41,0.973384030418251,0.941203782186944,0.0053627260127644,12,32,1234,86,0.6677970986744369,0.9234007432195267
Machine,41,0.907563025210084,0.941203782186944,0.0053627260127644,12,32,1234,86,0.6677970986744369,0.9234007432195267
personality,42,0.876905041031653,0.82272050498334,0.2084341563379046,9,67,1945,43,0.6835674870461441,0.8997885749360682
Heart,42,0.8704318936877077,0.82272050498334,0.2084341563379046,9,67,1945,43,0.6835674870461441,0.8997885749360682
Loan,42,0.9773584905660376,0.82272050498334,0.2084341563379046,9,67,1945,43,0.6835674870461441,0.8997885749360682
Machine,42,0.8744588744588745,0.82272050498334,0.2084341563379046,9,67,1945,43,0.6835674870461441,0.8997885749360682
personality,43,0.8930669800235017,0.8684574067296202,0.0077341317309703,14,27,2587,149,0.7290203056954402,0.9111171975204649
Heart,43,0.8963210702341137,0.8684574067296202,0.0077341317309703,14,27,2587,149,0.7290203056954402,0.9111171975204649
Loan,43,0.9774436090225564,0.8684574067296202,0.0077341317309703,14,27,2587,149,0.7290203056954402,0.9111171975204649
Machine,43,0.8776371308016878,0.8684574067296202,0.0077341317309703,14,27,2587,149,0.7290203056954402,0.9111171975204649
personality,44,0.917728852838934,0.9394679179698696,0.0021798549893532,13,48,2856,45,0.9240453578716724,0.9286056909148073
Heart,44,0.8996763754045307,0.9394679179698696,0.0021798549893532,13,48,2856,45,0.9240453578716724,0.9286056909148073
Loan,44,0.9771863117870724,0.9394679179698696,0.0021798549893532,13,48,2856,45,0.9240453578716724,0.9286056909148073
Machine,44,0.919831223628692,0.9394679179698696,0.0021798549893532,13,48,2856,45,0.9240453578716724,0.9286056909148073
personality,45,0.8886283704572099,0.9468289274320416,0.1828974217537133,9,7,4181,39,0.8599855723111061,0.9102670786914012
Heart,45,0.8910891089108911,0.9468289274320416,0.1828974217537133,9,7,4181,39,0.8599855723111061,0.9102670786914012
Loan,45,0.973384030418251,0.9468289274320416,0.1828974217537133,9,7,4181,39,0.8599855723111061,0.9102670786914012
Machine,45,0.8879668049792531,0.9468289274320416,0.1828974217537133,9,7,4181,39,0.8599855723111061,0.9102670786914012
personality,46,0.897196261682243,0.8807867509030813,0.0935998032442048,11,87,1216,111,0.8315459582030235,0.9050403412510211
Heart,46,0.8778877887788779,0.8807867509030813,0.0935998032442048,11,87,1216,111,0.8315459582030235,0.9050403412510211
Loan,46,0.9732824427480916,0.8807867509030813,0.0935998032442048,11,87,1216,111,0.8315459582030235,0.9050403412510211
Machine,46,0.8717948717948718,0.8807867509030813,0.0935998032442048,11,87,1216,111,0.8315459582030235,0.9050403412510211
personality,47,0.8818713450292398,0.7753896492072347,0.0462051328704167,10,25,3819,82,0.9927363553242124,0.9079169184559341
Heart,47,0.8874172185430463,0.7753896492072347,0.0462051328704167,10,25,3819,82,0.9927363553242124,0.9079169184559341
Loan,47,0.9772727272727272,0.7753896492072347,0.0462051328704167,10,25,3819,82,0.9927363553242124,0.9079169184559341
Machine,47,0.8851063829787233,0.7753896492072347,0.0462051328704167,10,25,3819,82,0.9927363553242124,0.9079169184559341
personality,48,0.882903981264637,0.9355734008277452,0.1353089636327238,8,52,4827,89,0.7213062058692892,0.8964601599497546
Heart,48,0.8666666666666667,0.9355734008277452,0.1353089636327238,8,52,4827,89,0.7213062058692892,0.8964601599497546
Loan,48,0.9791271347248576,0.9355734008277452,0.1353089636327238,8,52,4827,89,0.7213062058692892,0.8964601599497546
Machine,48,0.8571428571428571,0.9355734008277452,0.1353089636327238,8,52,4827,89,0.7213062058692892,0.8964601599497546
personality,49,0.9105691056910568,0.8148329708786621,0.0064439881621651,12,60,3101,127,0.8491561903276001,0.9176651526551043
Heart,49,0.8940397350993378,0.8148329708786621,0.0064439881621651,12,60,3101,127,0.8491561903276001,0.9176651526551043
Loan,49,0.9715370018975332,0.8148329708786621,0.0064439881621651,12,60,3101,127,0.8491561903276001,0.9176651526551043
Machine,49,0.8945147679324894,0.8148329708786621,0.0064439881621651,12,60,3101,127,0.8491561903276001,0.9176651526551043
personality,50,0.9187935034802784,0.6341389859975072,0.0013428326429756,11,94,4192,118,0.8549719605992826,0.9216126757929124
Heart,50,0.9090909090909092,0.6341389859975072,0.0013428326429756,11,94,4192,118,0.8549719605992826,0.9216126757929124
Loan,50,0.9715370018975332,0.6341389859975072,0.0013428326429756,11,94,4192,118,0.8549719605992826,0.9216126757929124
Machine,50,0.8870292887029289,0.6341389859975072,0.0013428326429756,11,94,4192,118,0.8549719605992826,0.9216126757929124
personality,51,0.8839390386869871,0.8904365334890646,0.2613990034157314,11,30,1732,139,0.7083329005048297,0.902690168819123
Heart,51,0.8874172185430463,0.8904365334890646,0.2613990034157314,11,30,1732,139,0.7083329005048297,0.902690168819123
Loan,51,0.97131931166348,0.8904365334890646,0.2613990034157314,11,30,1732,139,0.7083329005048297,0.902690168819123
Machine,51,0.8680851063829788,0.8904365334890646,0.2613990034157314,11,30,1732,139,0.7083329005048297,0.902690168819123
personality,52,0.903529411764706,0.7755885682822544,0.0015643933810778,12,90,166,81,0.9343920482048824,0.8240974023931946
Heart,52,0.8488372093023255,0.7755885682822544,0.0015643933810778,12,90,166,81,0.9343920482048824,0.8240974023931946
Loan,52,0.7540229885057471,0.7755885682822544,0.0015643933810778,12,90,166,81,0.9343920482048824,0.8240974023931946
Machine,52,0.79,0.7755885682822544,0.0015643933810778,12,90,166,81,0.9343920482048824,0.8240974023931946
personality,53,0.8928150765606596,0.8783896824374792,0.0103044788168523,9,1,2899,115,0.8196906658824482,0.9127111445145024
Heart,53,0.8990228013029316,0.8783896824374792,0.0103044788168523,9,1,2899,115,0.8196906658824482,0.9127111445145024
Loan,53,0.959847036328872,0.8783896824374792,0.0103044788168523,9,1,2899,115,0.8196906658824482,0.9127111445145024
Machine,53,0.8991596638655462,0.8783896824374792,0.0103044788168523,9,1,2899,115,0.8196906658824482,0.9127111445145024
personality,54,0.8836662749706228,0.8858383690800249,0.0431905718464681,12,1,3393,88,0.8446882984937409,0.9051409359038635
Heart,54,0.8844884488448845,0.8858383690800249,0.0431905718464681,12,1,3393,88,0.8446882984937409,0.9051409359038635
Loan,54,0.959847036328872,0.8858383690800249,0.0431905718464681,12,1,3393,88,0.8446882984937409,0.9051409359038635
Machine,54,0.8925619834710744,0.8858383690800249,0.0431905718464681,12,1,3393,88,0.8446882984937409,0.9051409359038635
personality,55,0.917728852838934,0.7678400249711159,0.0041082768239474,10,86,2794,48,0.6464290562027665,0.9235732939604367
Heart,55,0.9019607843137256,0.7678400249711159,0.0041082768239474,10,86,2794,48,0.6464290562027665,0.9235732939604367
Loan,55,0.9792060491493384,0.7678400249711159,0.0041082768239474,10,86,2794,48,0.6464290562027665,0.9235732939604367
Machine,55,0.895397489539749,0.7678400249711159,0.0041082768239474,10,86,2794,48,0.6464290562027665,0.9235732939604367
personality,56,0.9187935034802784,0.618401056808701,0.0012615085022632,13,62,3109,104,0.7893887083122263,0.9144740168957106
Heart,56,0.9166666666666666,0.618401056808701,0.0012615085022632,13,62,3109,104,0.7893887083122263,0.9144740168957106
Loan,56,0.9307692307692308,0.618401056808701,0.0012615085022632,13,62,3109,104,0.7893887083122263,0.9144740168957106
Machine,56,0.8916666666666667,0.618401056808701,0.0012615085022632,13,62,3109,104,0.7893887083122263,0.9144740168957106
personality,57,0.8860164512338425,0.669280747964006,0.0118769011449589,14,10,2899,115,0.9425959364753288,0.9117301897758918
Heart,57,0.8976897689768977,0.669280747964006,0.0118769011449589,14,10,2899,115,0.9425959364753288,0.9117301897758918
Loan,57,0.973384030418251,0.669280747964006,0.0118769011449589,14,10,2899,115,0.9425959364753288,0.9117301897758918
Machine,57,0.8898305084745762,0.669280747964006,0.0118769011449589,14,10,2899,115,0.9425959364753288,0.9117301897758918
personality,58,0.8904593639575972,0.8634774526475779,0.0025328433607942,14,2,4642,147,0.8545614389784044,0.9015784458622992
Heart,58,0.8701298701298701,0.8634774526475779,0.0025328433607942,14,2,4642,147,0.8545614389784044,0.9015784458622992
Loan,58,0.9465648854961832,0.8634774526475779,0.0025328433607942,14,2,4642,147,0.8545614389784044,0.9015784458622992
