Param_set,Avg_F1
1,0.8966273221750353
2,0.8553432196899702
3,0.9217152254221243
4,0.9229985854298286
5,0.929149833281558
6,0.9200500034500322
7,0.9228907239127967
8,0.9071566977207927
9,0.9116311334087313
10,0.924817739020809
11,0.9254274611144363
12,0.9096251146325744
13,0.9083218783644508
14,0.9034686429232246
15,0.9063318361729836
16,0.9131835909165603
17,0.925967366008634
18,0.9187433260375413
19,0.9129988360334228
20,0.9218062709926307
21,0.9205927549338367
22,0.9285283892319416
23,0.9003458660466084
24,0.9156244545650274
25,0.8974373915701291
26,0.9179602087356908
27,0.9134981916218495
28,0.9061947006249143
29,0.9014887882464047
30,0.902146057227979
31,0.9103745388302373
32,0.9076762659336635
33,0.9025390843403349
34,0.9196770264747184
35,0.8981257123518759
36,0.9162441216318827
37,0.894356611120678
38,0.9188550692301704
39,0.9225386331926121
40,0.9260826173072426
41,0.9234007432195267
42,0.8997885749360682
43,0.9111171975204649
44,0.9286056909148073
45,0.9102670786914012
46,0.9050403412510211
47,0.9079169184559341
48,0.8964601599497546
49,0.9176651526551043
50,0.9216126757929124
51,0.902690168819123
52,0.8240974023931946
53,0.9127111445145024
54,0.9051409359038635
55,0.9235732939604367
56,0.9144740168957106
57,0.9117301897758918
58,0.9015784458622992
59,0.9069494737204357
60,0.9030401764120979
61,0.920769914703205
62,0.9180699830818262
63,0.8951752583420227
64,0.8936032333210286
65,0.9082597944993295
66,0.9217369390949675
67,0.8985333364749495
68,0.9042662302592634
69,0.8902182405035319
70,0.9067068973851278
71,0.9220345806869246
72,0.9249177287043976
73,0.909532496973559
74,0.9131111930501304
75,0.9259569471839116
76,0.9124206389956057
77,0.9247755825243892
78,0.9164425823376476
79,0.9056649080639865
80,0.9090893307871228
81,0.8959533501368688
82,0.9139665751037379
83,0.9244318695220024
84,0.907230539469433
85,0.9082822979548002
86,0.912974775332382
87,0.9004447011239077
88,0.8994308003661898
89,0.9116676415599732
90,0.917501140095391
91,0.9100058628825227
92,0.926283128613044
93,0.9116439815468499
94,0.9252852849118983
95,0.924517138615851
96,0.9086917325606492
97,0.9196538516800274
98,0.9100610072259432
99,0.9241315951952349
100,0.9217993203862803
