mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,Dataset
1.079193909962972,0.031601181956181494,0.05931607882181803,0.009042339574770639,0.46909356296798244,0.06348409107711134,14,32,3367,74,0.41583820140922967,"OrderedDict([('colsample_bytree', 0.46909356296798244), ('learning_rate', 0.06348409107711134), ('max_depth', 14), ('min_child_samples', 32), ('n_estimators', 3367), ('num_leaves', 74), ('subsample', 0.41583820140922967)])",0.8949771689497716,0.9088191330343797,0.915625,0.9064737673280504,0.008591033581279679,48,personality
0.5608709653218588,0.06520319982495851,0.05243865648905436,0.006790661197182404,0.8536495199979559,0.15419810914825097,5,95,4327,28,0.22447768445071767,"OrderedDict([('colsample_bytree', 0.8536495199979559), ('learning_rate', 0.15419810914825097), ('max_depth', 5), ('min_child_samples', 95), ('n_estimators', 4327), ('num_leaves', 28), ('subsample', 0.22447768445071767)])",0.8939393939393939,0.9004457652303121,0.9148264984227129,0.9030705525308064,0.008726775452743045,50,personality
0.10991024971008301,0.0011423481820392717,0.0052098433176676435,0.007367831077684421,0.5003492610710367,0.18870659816091614,2,44,980,79,0.239903248645489,"OrderedDict([('colsample_bytree', 0.5003492610710367), ('learning_rate', 0.18870659816091614), ('max_depth', 2), ('min_child_samples', 44), ('n_estimators', 980), ('num_leaves', 79), ('subsample', 0.239903248645489)])",0.9305135951661632,0.9258160237388724,0.9478527607361963,0.9347274598804106,0.009477057779880515,39,personality
0.5383575757344564,0.008149585516149456,0.03517397244771322,0.0054802142223765145,0.8311563895216271,0.002665303673177163,9,80,2639,32,0.7802204795522933,"OrderedDict([('colsample_bytree', 0.8311563895216271), ('learning_rate', 0.002665303673177163), ('max_depth', 9), ('min_child_samples', 80), ('n_estimators', 2639), ('num_leaves', 32), ('subsample', 0.7802204795522933)])",0.9379727685325264,0.9351032448377581,0.9460708782742681,0.9397156305481843,0.00464402281099981,1,personality
1.010756492614746,0.026687507313090962,0.11010098457336426,0.01275760409706267,0.8195980974464558,0.012163299704553493,8,72,4524,113,0.4817602652146139,"OrderedDict([('colsample_bytree', 0.8195980974464558), ('learning_rate', 0.012163299704553493), ('max_depth', 8), ('min_child_samples', 72), ('n_estimators', 4524), ('num_leaves', 113), ('subsample', 0.4817602652146139)])",0.9129129129129129,0.9244444444444444,0.9397217928902627,0.9256930500825401,0.010980232949550755,43,personality
0.5650413036346436,0.0,0.05298566818237305,0.007310286580517548,0.7606252161870115,0.21229156715543918,3,20,4012,68,0.5131220627357251,"OrderedDict([('colsample_bytree', 0.7606252161870115), ('learning_rate', 0.21229156715543918), ('max_depth', 3), ('min_child_samples', 20), ('n_estimators', 4012), ('num_leaves', 68), ('subsample', 0.5131220627357251)])",0.8973966309341501,0.908284023668639,0.9050632911392406,0.9035813152473432,0.004566619431401024,49,personality
0.5550669034322103,0.014980563443116145,0.041857639948527016,0.007492943035268714,0.6553714226520847,0.083305098637355,6,88,2983,97,0.6838997587333533,"OrderedDict([('colsample_bytree', 0.6553714226520847), ('learning_rate', 0.083305098637355), ('max_depth', 6), ('min_child_samples', 88), ('n_estimators', 2983), ('num_leaves', 97), ('subsample', 0.6838997587333533)])",0.9022556390977443,0.9107142857142857,0.9235569422776911,0.9121756223632403,0.008757397173901494,46,personality
0.3401452700297038,0.007367044336512219,0.031249523162841797,1.0115243642614567e-06,0.5890627609212813,0.1900966262835655,8,84,1654,27,0.6137000224110084,"OrderedDict([('colsample_bytree', 0.5890627609212813), ('learning_rate', 0.1900966262835655), ('max_depth', 8), ('min_child_samples', 84), ('n_estimators', 1654), ('num_leaves', 27), ('subsample', 0.6137000224110084)])",0.8995502248875562,0.907185628742515,0.9204368174726989,0.9090575570342567,0.008629041047590467,47,personality
0.676925261815389,0.01959187330844195,0.042084058125813804,0.007377335539447292,0.9599301876789355,0.054390652888685394,13,42,1936,47,0.10005494567740614,"OrderedDict([('colsample_bytree', 0.9599301876789355), ('learning_rate', 0.054390652888685394), ('max_depth', 13), ('min_child_samples', 42), ('n_estimators', 1936), ('num_leaves', 47), ('subsample', 0.10005494567740614)])",0.9099236641221374,0.913946587537092,0.9190031152647975,0.9142911223080089,0.003714667900747513,45,personality
0.46156907081604004,0.019446955934945647,0.030597368876139324,0.0013792018149675032,0.10326727652926891,0.10613634417744769,11,26,2914,56,0.38155537561116537,"OrderedDict([('colsample_bytree', 0.10326727652926891), ('learning_rate', 0.10613634417744769), ('max_depth', 11), ('min_child_samples', 26), ('n_estimators', 2914), ('num_leaves', 56), ('subsample', 0.38155537561116537)])",0.9351432880844646,0.9292035398230089,0.9428129829984544,0.9357199369686425,0.0055709741121960695,38,personality
0.14220762252807617,0.0,0.016663869222005207,0.0007238018784270869,0.15112820824160855,0.001,1,53,2276,22,0.1645377499972177,"OrderedDict([('colsample_bytree', 0.15112820824160855), ('learning_rate', 0.001), ('max_depth', 1), ('min_child_samples', 53), ('n_estimators', 2276), ('num_leaves', 22), ('subsample', 0.1645377499972177)])",0.9379727685325264,0.9351032448377581,0.9460708782742681,0.9397156305481843,0.00464402281099981,1,personality
