model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
xgboost,bayesian,1590,50,0.9267186663274385,0.07328133367256151,0.9278660104838096,0.07213398951619043,0.0011473441563710773,32
xgboost,bayesian,1510,50,0.9909585652442795,0.009041434755720501,0.9930900845186559,0.00690991548134412,0.002131519274376381,32
xgboost,bayesian,1461,50,0.9309358627326845,0.06906413726731553,0.9313695697097331,0.06863043029026694,0.00043370697704858685,32
xgboost,bayesian,24,50,1.0,0.0,1.0,0.0,0.0,32
xgboost,bayesian,40945,50,0.9936222222222222,0.0063777777777778155,0.9950543209876545,0.00494567901234555,0.0014320987654322659,32
xgboost,random,1590,50,0.9165448532346933,0.08345514676530674,0.9165448532346933,0.08345514676530674,0.0,32
xgboost,random,1510,50,0.9917824503538789,0.008217549646121092,0.9930900845186559,0.00690991548134412,0.0013076341647769718,32
xgboost,random,1461,50,0.9259670117876915,0.07403298821230853,0.9259670117876915,0.07403298821230853,0.0,32
xgboost,random,24,50,1.0,0.0,1.0,0.0,0.0,32
xgboost,random,40945,50,0.9924358024691358,0.007564197530864236,0.99545,0.004550000000000054,0.003014197530864182,32
xgboost,grid,1590,50,0.9283019374078743,0.07169806259212574,0.9283019374078743,0.07169806259212574,0.0,32
xgboost,grid,1510,50,0.9875407132549989,0.012459286745001075,0.9936315536315536,0.006368446368446357,0.006090840376554718,32
xgboost,grid,1461,50,0.9297482351507449,0.0702517648492551,0.9306046789372571,0.06939532106274293,0.0008564437865121732,32
xgboost,grid,24,50,1.0,0.0,1.0,0.0,0.0,32
xgboost,grid,40945,50,0.9951561728395062,0.004843827160493808,0.9955018518518518,0.0044981481481481955,0.00034567901234561216,32
