model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
decision_tree,bayesian,1590,10,0.8651401982619238,0.1348598017380762,0.8833948591164725,0.11660514088352747,0.018254660854548743,32
decision_tree,bayesian,1510,10,0.9314285714285715,0.0685714285714285,0.9514285714285714,0.0485714285714286,0.019999999999999907,32
decision_tree,bayesian,1461,10,0.8503702549286528,0.1496297450713472,0.8590437034329039,0.14095629656709607,0.008673448504251113,32
decision_tree,bayesian,24,10,0.9907335735332758,0.009266426466724154,0.9907917688334665,0.009208231166533465,5.819530019068875e-05,32
decision_tree,bayesian,40945,10,1.0,0.0,1.0,0.0,0.0,32
decision_tree,random,1590,10,0.8814334939708237,0.11856650602917629,0.8840986139517785,0.11590138604822153,0.0026651199809547554,32
decision_tree,random,1510,10,0.8921428571428572,0.10785714285714276,0.9442857142857143,0.055714285714285716,0.052142857142857046,32
decision_tree,random,1461,10,0.8641850378301292,0.13581496216987077,0.8641850378301292,0.13581496216987077,0.0,32
decision_tree,random,24,10,0.986047965437392,0.013952034562607962,0.9881530879148155,0.011846912085184513,0.002105122477423449,32
decision_tree,random,40945,10,1.0,0.0,1.0,0.0,0.0,32
decision_tree,grid,1590,10,0.8550784320434097,0.14492156795659028,0.886347082138994,0.11365291786100595,0.03126865009558433,32
decision_tree,grid,1510,10,0.9314285714285715,0.0685714285714285,0.9550000000000001,0.04499999999999993,0.023571428571428577,32
decision_tree,grid,1461,10,0.819730644650685,0.18026935534931499,0.8579182755102506,0.14208172448974943,0.03818763085956556,32
decision_tree,grid,24,10,0.9928791399714706,0.007120860028529408,0.9928791399714706,0.007120860028529408,0.0,32
decision_tree,grid,40945,10,1.0,0.0,1.0,0.0,0.0,32
random_forest,bayesian,1590,10,0.9042168810022136,0.09578311899778635,0.9055276438226896,0.09447235617731042,0.0013107628204759303,32
random_forest,bayesian,1510,10,0.9771428571428572,0.022857142857142798,0.9800000000000001,0.019999999999999907,0.0028571428571428914,32
random_forest,bayesian,1461,10,0.9122679712718403,0.08773202872815966,0.9122784746597408,0.08772152534025923,1.050338790042904e-05,32
random_forest,bayesian,24,10,0.9999389499389499,6.105006105006083e-05,1.0,0.0,6.105006105006083e-05,32
random_forest,bayesian,40945,10,1.0,0.0,1.0,0.0,0.0,32
random_forest,random,1590,10,0.9066005089231887,0.09339949107681134,0.9066005089231887,0.09339949107681134,0.0,32
random_forest,random,1510,10,0.9771428571428572,0.022857142857142798,0.9828571428571429,0.017142857142857126,0.005714285714285672,32
random_forest,random,1461,10,0.8985831191907556,0.10141688080924438,0.9013851711953983,0.0986148288046017,0.0028020520046426745,32
random_forest,random,24,10,0.998689355651381,0.00131064434861905,1.0,0.0,0.00131064434861905,32
random_forest,random,40945,10,1.0,0.0,1.0,0.0,0.0,32
random_forest,grid,1590,10,0.9080398676410668,0.09196013235893319,0.9080398676410668,0.09196013235893319,0.0,32
random_forest,grid,1510,10,0.9771428571428572,0.022857142857142798,0.9828571428571429,0.017142857142857126,0.005714285714285672,32
random_forest,grid,1461,10,0.9136468606754329,0.08635313932456712,0.9136468606754329,0.08635313932456712,0.0,32
random_forest,grid,24,10,1.0,0.0,1.0,0.0,0.0,32
random_forest,grid,40945,10,1.0,0.0,1.0,0.0,0.0,32
knn,bayesian,1590,10,0.8701656999634114,0.12983430003658858,0.8710041874758053,0.12899581252419468,0.000838487512393904,32
knn,bayesian,1510,10,0.9685714285714285,0.03142857142857147,0.9714285714285713,0.028571428571428692,0.0028571428571427804,32
knn,bayesian,1461,10,0.8458294530810697,0.15417054691893028,0.8458294530810697,0.15417054691893028,0.0,32
knn,bayesian,24,10,0.9904832523726791,0.00951674762732091,0.9963466311548963,0.0036533688451036994,0.00586337878221721,32
knn,bayesian,40945,10,0.9574999999999999,0.04250000000000009,0.9574999999999999,0.04250000000000009,0.0,32
knn,random,1590,10,0.8701656999634114,0.12983430003658858,0.8710864983293197,0.12891350167068027,0.0009207983659083041,32
knn,random,1510,10,0.9685714285714285,0.03142857142857147,0.9785714285714284,0.021428571428571574,0.009999999999999898,32
knn,random,1461,10,0.8458294530810697,0.15417054691893028,0.8458294530810697,0.15417054691893028,0.0,32
knn,random,24,10,0.9904832523726791,0.00951674762732091,0.9968016632164064,0.0031983367835936027,0.006318410843727307,32
knn,random,40945,10,0.9574999999999999,0.04250000000000009,0.9574999999999999,0.04250000000000009,0.0,32
knn,grid,1590,10,0.8701656999634114,0.12983430003658858,0.8714300222222517,0.12856997777774826,0.0012643222588403225,21
knn,grid,1510,10,0.9685714285714285,0.03142857142857147,0.9785714285714284,0.021428571428571574,0.009999999999999898,21
knn,grid,1461,10,0.8458294530810697,0.15417054691893028,0.8458294530810697,0.15417054691893028,0.0,21
knn,grid,24,10,0.9904832523726791,0.00951674762732091,0.9968016632164064,0.0031983367835936027,0.006318410843727307,21
knn,grid,40945,10,0.9574999999999999,0.04250000000000009,0.9574999999999999,0.04250000000000009,0.0,21
