dataset,data_fraction,model,tuning_method,iteration,AUC,rf__max_depth,rf__min_samples_split,rf__n_estimators,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample,sgd__alpha,sgd__l1_ratio,sgd__penalty
qsar-biodeg,0.25,RandomForest,BayesSearch,14,0.876772030651341,32,2,779,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,15,0.8515035411587135,2,2,712,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,16,0.8517705793567862,2,2,1000,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,17,0.8737954255195635,32,7,691,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,18,0.8463543480784861,2,32,256,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,19,0.8570010449320794,2,3,196,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,20,0.8745138163241611,20,2,955,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,21,0.8765790084755601,25,2,792,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,22,0.8010623476140718,2,17,2,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,23,0.8724254034598862,26,11,1000,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,24,0.8766980146290491,10,2,425,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,25,0.855773249738767,2,8,416,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,26,0.8437971670730291,2,32,1000,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,27,0.8777951933124346,21,2,446,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,28,0.8506240566585395,31,31,993,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,29,0.8766196447230931,32,2,543,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,30,0.8507546731684662,2,14,990,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,31,0.8762292464878672,22,2,573,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,32,0.8770622895622895,14,2,280,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,33,0.878741437362127,32,2,372,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,34,0.8782363868570766,15,2,365,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,35,0.875062405665854,25,2,265,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,36,0.8772103216068734,32,2,438,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,37,0.8727592012074772,10,3,553,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,38,0.8772930453964937,15,2,701,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,39,0.8535498664809009,32,31,617,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,40,0.876631255079531,16,2,172,,,,,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,1,0.8479943109253454,,,,0.013292918943162162,13,1296,0.7587945476302645,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,2,0.8615523046557529,,,,0.06251373574521747,7,123,0.2403950683025824,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,3,0.8575496342737722,,,,0.001493656855461763,8,1398,0.6410035105688879,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,4,0.831580169511204,,,,0.13311216080736882,6,1334,0.9729188669457949,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,5,0.8429525136421688,,,,0.31428808908401085,6,387,0.26364247048639056,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,6,0.8562724950655984,,,,0.0035498788321965016,12,1339,0.5722807884690141,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,7,0.8541303843027981,,,,0.019762189340280067,1,476,0.6506676052501416,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,8,0.8636566817601301,,,,0.00262108787826544,12,701,0.4297256589643226,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,9,0.8492279112968768,,,,0.023345864076016232,14,564,0.4442157921404465,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,10,0.8256501799605248,,,,0.890620438616168,9,1156,0.8739463660626885,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,11,0.8701570300708232,,,,0.10988100318524602,9,168,0.11193846504387989,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,12,0.8217229768953906,,,,0.6708188643346283,14,243,0.4468748522859245,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,13,0.857973412283757,,,,0.0011166029133981342,2,1365,0.31692291942341055,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,14,0.8451642865435969,,,,0.11214774784159455,12,510,0.849875420562548,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,15,0.8671165679786369,,,,0.0033120277014659447,1,1957,0.2640124790092561,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,16,0.8361314292348776,,,,0.18453732926615923,14,1415,0.28714749658136995,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,17,0.841286427493324,,,,0.05047786565710605,13,704,0.8580562971354987,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,18,0.8410019737605945,,,,0.022349221517675502,10,1983,0.9339929792144148,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,19,0.8352519447347033,,,,0.15199034037054074,8,1487,0.27638457617723067,,,
