model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
xgboost,bayesian,1590,10,0.9147415322191055,0.08525846778089452,0.9147415322191055,0.08525846778089452,0.0,32
xgboost,bayesian,1510,10,0.9885714285714287,0.011428571428571344,0.9885714285714287,0.011428571428571344,0.0,32
xgboost,bayesian,1461,10,0.9172890162213336,0.08271098377866637,0.9176905342204071,0.08230946577959286,0.0004015179990735085,32
xgboost,bayesian,24,10,0.9998168498168498,0.0001831501831501825,0.9998778998778999,0.00012210012210012167,6.105006105006083e-05,32
xgboost,bayesian,40945,10,1.0,0.0,1.0,0.0,0.0,32
xgboost,random,1590,10,0.8992016656888797,0.10079833431112029,0.8992016656888797,0.10079833431112029,0.0,32
xgboost,random,1510,10,0.9742857142857144,0.02571428571428558,0.9885714285714287,0.011428571428571344,0.014285714285714235,32
xgboost,random,1461,10,0.9112174040314851,0.0887825959685149,0.9112174040314851,0.0887825959685149,0.0,32
xgboost,random,24,10,0.9998168498168498,0.0001831501831501825,0.9998168498168498,0.0001831501831501825,0.0,32
xgboost,random,40945,10,1.0,0.0,1.0,0.0,0.0,32
xgboost,grid,1590,10,0.9166466246255294,0.08335337537447063,0.9166466246255294,0.08335337537447063,0.0,32
xgboost,grid,1510,10,0.9885714285714287,0.011428571428571344,0.9885714285714287,0.011428571428571344,0.0,32
xgboost,grid,1461,10,0.9191020647943091,0.08089793520569089,0.9191020647943091,0.08089793520569089,0.0,32
xgboost,grid,24,10,0.999847374847375,0.00015262515262504106,0.9998778998778999,0.00012210012210012167,3.0525030524919394e-05,32
xgboost,grid,40945,10,1.0,0.0,1.0,0.0,0.0,32
