model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
xgboost,bayesian,1590,25,0.9192898992059135,0.08071010079408647,0.9207492108006938,0.07925078919930617,0.0014593115947802993,32
xgboost,bayesian,1510,25,0.9713309566250743,0.028669043374925707,0.975650623885918,0.024349376114082055,0.0043196672608436515,32
xgboost,bayesian,1461,25,0.9220760431669515,0.07792395683304854,0.9220760431669515,0.07792395683304854,0.0,32
xgboost,bayesian,24,25,1.0,0.0,1.0,0.0,0.0,32
xgboost,bayesian,40945,25,0.9984,0.0016000000000000458,0.9984,0.0016000000000000458,0.0,32
xgboost,random,1590,25,0.9099464288661554,0.0900535711338446,0.9099464288661554,0.0900535711338446,0.0,32
xgboost,random,1510,25,0.9712715389185977,0.028728461081402257,0.97767082590612,0.022329174093880022,0.006399286987522235,32
xgboost,random,1461,25,0.9170242887146506,0.08297571128534942,0.9170242887146506,0.08297571128534942,0.0,32
xgboost,random,24,25,1.0,0.0,1.0,0.0,0.0,32
xgboost,random,40945,25,0.9982048780487804,0.0017951219512195582,0.998209756097561,0.0017902439024389816,4.878048780576627e-06,32
xgboost,grid,1590,25,0.9215442909724281,0.07845570902757193,0.92264732804635,0.07735267195365003,0.0011030370739218975,32
xgboost,grid,1510,25,0.9734105763517528,0.026589423648247235,0.9734105763517528,0.026589423648247235,0.0,32
xgboost,grid,1461,25,0.9218778279830099,0.07812217201699012,0.9222951420279095,0.07770485797209048,0.0004173140448996415,32
xgboost,grid,24,25,0.9999903278847084,9.672115291570194e-06,1.0,0.0,9.672115291570194e-06,32
xgboost,grid,40945,25,0.9968,0.0031999999999999806,0.9986,0.0013999999999999568,0.0018000000000000238,32
