trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
58,2,-0.11712609478332307,0.11712609478332307,0.936149,"{'n_estimators': 623, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 0.1, 'max_samples': 0.9}",623,entropy,,5,3,0.1,0.9,Titanic,0.1520592793866828
59,2,-0.1141678641896739,0.1141678641896739,0.967647,"{'n_estimators': 536, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",536,entropy,,6,1,sqrt,0.9,Titanic,0.1520592793866828
60,2,-0.1186703939721331,0.1186703939721331,1.653455,"{'n_estimators': 1025, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 19, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.7}",1025,entropy,,19,2,sqrt,0.7,Titanic,0.1520592793866828
61,2,-0.11480620088058655,0.11480620088058655,1.280703,"{'n_estimators': 618, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",618,entropy,,4,1,sqrt,0.9,Titanic,0.1520592793866828
62,1,-0.11535040032758732,0.11535040032758732,6.491771,"{'n_estimators': 743, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",743,log_loss,20.0,5,1,sqrt,0.9,Titanic,0.1520592793866828
63,1,-0.11535426800707942,0.11535426800707942,7.15238,"{'n_estimators': 820, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",820,log_loss,20.0,5,1,sqrt,0.9,Titanic,0.1520592793866828
64,2,-0.11378619634539568,0.11378619634539568,1.428186,"{'n_estimators': 822, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",822,log_loss,10.0,5,1,sqrt,0.9,Titanic,0.1520592793866828
65,2,-0.11528697060997578,0.11528697060997578,1.287376,"{'n_estimators': 758, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",758,entropy,20.0,16,1,sqrt,0.9,Titanic,0.1520592793866828
66,2,-0.11701983233000711,0.11701983233000711,1.24043,"{'n_estimators': 736, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",736,log_loss,20.0,3,1,0.25,0.9,Titanic,0.1520592793866828
67,2,-0.1149849402368136,0.1149849402368136,1.681198,"{'n_estimators': 939, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",939,log_loss,,4,1,sqrt,0.9,Titanic,0.1520592793866828
68,2,-0.11458663846378103,0.11458663846378103,1.004331,"{'n_estimators': 639, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.5}",639,log_loss,20.0,2,2,sqrt,0.5,Titanic,0.1520592793866828
69,2,-0.11533783014487357,0.11533783014487357,1.466929,"{'n_estimators': 838, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",838,entropy,20.0,4,1,sqrt,0.9,Titanic,0.1520592793866828
70,2,-0.12677524867311157,0.12677524867311157,0.609317,"{'n_estimators': 439, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 0.1, 'max_samples': 0.7}",439,log_loss,20.0,5,6,0.1,0.7,Titanic,0.1520592793866828
71,1,-0.11563984121397428,0.11563984121397428,7.510931,"{'n_estimators': 883, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",883,log_loss,20.0,6,2,sqrt,0.9,Titanic,0.1520592793866828
72,2,-0.11374063078139875,0.11374063078139875,0.92459,"{'n_estimators': 535, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",535,log_loss,20.0,6,2,sqrt,0.9,Titanic,0.1520592793866828
73,1,-0.11506738770519745,0.11506738770519745,9.052434,"{'n_estimators': 1043, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1043,log_loss,20.0,8,1,sqrt,0.9,Titanic,0.1520592793866828
74,1,-0.11508792949321107,0.11508792949321107,8.789999,"{'n_estimators': 1025, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1025,log_loss,20.0,8,1,sqrt,0.9,Titanic,0.1520592793866828
75,1,-0.11507252347668939,0.11507252347668939,8.894333,"{'n_estimators': 1033, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1033,log_loss,20.0,8,1,sqrt,0.9,Titanic,0.1520592793866828
76,1,-0.11548196889051458,0.11548196889051458,8.600787,"{'n_estimators': 1012, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1012,log_loss,20.0,10,1,sqrt,0.9,Titanic,0.1520592793866828
77,1,-0.11545660132480044,0.11545660132480044,8.781742,"{'n_estimators': 1033, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1033,log_loss,20.0,11,1,sqrt,0.9,Titanic,0.1520592793866828
78,2,-0.11335239836438255,0.11335239836438255,7.599208,"{'n_estimators': 1139, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 11, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1139,log_loss,20.0,11,2,sqrt,0.9,Titanic,0.1520592793866828
79,1,-0.11490978074927802,0.11490978074927802,10.88072,"{'n_estimators': 1255, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1255,log_loss,20.0,8,1,sqrt,0.9,Titanic,0.1520592793866828
80,2,-0.11911784514239437,0.11911784514239437,2.031328,"{'n_estimators': 1284, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 0.25, 'max_samples': 0.9}",1284,log_loss,20.0,9,7,0.25,0.9,Titanic,0.1520592793866828
81,1,-0.11505732638848014,0.11505732638848014,9.171696,"{'n_estimators': 1047, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1047,log_loss,20.0,8,1,sqrt,0.9,Titanic,0.1520592793866828
82,1,-0.11497371548573292,0.11497371548573292,10.468383,"{'n_estimators': 1218, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1218,log_loss,20.0,9,1,sqrt,0.9,Titanic,0.1520592793866828
83,1,-0.11492862811813014,0.11492862811813014,10.515382,"{'n_estimators': 1227, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1227,log_loss,20.0,8,1,sqrt,0.9,Titanic,0.1520592793866828
84,1,-0.11497106889233155,0.11497106889233155,10.302219,"{'n_estimators': 1206, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1206,log_loss,20.0,8,1,sqrt,0.9,Titanic,0.1520592793866828
85,1,-0.11496517191679037,0.11496517191679037,10.351051,"{'n_estimators': 1215, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1215,log_loss,20.0,8,1,sqrt,0.9,Titanic,0.1520592793866828
86,1,-0.11492033773589463,0.11492033773589463,10.513791,"{'n_estimators': 1225, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1225,log_loss,20.0,8,1,sqrt,0.9,Titanic,0.1520592793866828
87,1,-0.11441149236307928,0.11441149236307928,10.194477,"{'n_estimators': 1216, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1216,log_loss,10.0,8,1,sqrt,0.9,Titanic,0.1520592793866828
88,2,-0.1155898808440965,0.1155898808440965,1.906917,"{'n_estimators': 1251, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.5}",1251,log_loss,10.0,9,2,sqrt,0.5,Titanic,0.1520592793866828
89,1,-0.11457988580748565,0.11457988580748565,10.108424,"{'n_estimators': 1200, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1200,log_loss,10.0,9,1,sqrt,0.9,Titanic,0.1520592793866828
90,2,-0.11606442549826144,0.11606442549826144,1.768072,"{'n_estimators': 1188, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_samples': 0.9}",1188,log_loss,10.0,10,1,0.1,0.9,Titanic,0.1520592793866828
91,1,-0.11463463573433821,0.11463463573433821,11.565501,"{'n_estimators': 1376, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1376,log_loss,10.0,9,1,sqrt,0.9,Titanic,0.1520592793866828
92,1,-0.11461644542592937,0.11461644542592937,11.627772,"{'n_estimators': 1388, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1388,log_loss,10.0,9,1,sqrt,0.9,Titanic,0.1520592793866828
93,1,-0.11462582784460296,0.11462582784460296,11.654389,"{'n_estimators': 1384, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1384,log_loss,10.0,9,1,sqrt,0.9,Titanic,0.1520592793866828
94,1,-0.1152972752865952,0.1152972752865952,12.225507,"{'n_estimators': 1424, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1424,log_loss,10.0,9,2,sqrt,0.9,Titanic,0.1520592793866828
95,1,-0.11512282021832121,0.11512282021832121,11.440149,"{'n_estimators': 1374, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1374,log_loss,10.0,10,1,sqrt,0.9,Titanic,0.1520592793866828
96,1,-0.11567663267172326,0.11567663267172326,10.626383,"{'n_estimators': 1316, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",1316,log_loss,10.0,9,1,sqrt,0.7,Titanic,0.1520592793866828
97,1,-0.11461095413454692,0.11461095413454692,10.847842,"{'n_estimators': 1286, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1286,log_loss,10.0,9,1,sqrt,0.9,Titanic,0.1520592793866828
98,2,-0.11405209450861407,0.11405209450861407,2.035329,"{'n_estimators': 1258, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1258,log_loss,10.0,10,5,sqrt,0.9,Titanic,0.1520592793866828
99,1,-0.1153590668264672,0.1153590668264672,11.52007,"{'n_estimators': 1378, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1378,log_loss,10.0,9,2,sqrt,0.9,Titanic,0.1520592793866828
