mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,dataset,brier_score
10.466741800308228,0.34690691582213795,0.41730389595031736,0.045407483531569946,entropy,,sqrt,,2,10,1469,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1469}",-0.17993354712852916,-0.18484172011935177,-0.19024417694531542,-0.1839236809207608,-0.1902677917237748,-0.1858421833675464,0.003963763800626287,1,Bank,0.1858421833675464
4.4182343006134035,0.0525403426796355,0.10075349807739258,0.0015427374076319002,log_loss,,0.33,,5,8,1319,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 0.33, 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 1319}",-0.15951123079570892,-0.16114034572221406,-0.1458396952920808,-0.14653238028588408,-0.15404474791936884,-0.15341368000305133,0.006356056414463774,1,Gym,0.15341368000305133
1.9729152202606202,0.12425577629112912,0.06453523635864258,0.0011774398370842573,entropy,10,0.25,,1,2,1033,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.25, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1033}",-0.10109957024577922,-0.1275223484558811,-0.1234107950755248,-0.12913646845459986,-0.15772653835920966,-0.12777914411819893,0.018053458563751307,1,Heart Disease,0.12777914411819893
3.0594264030456544,0.11915541553490415,0.0798769474029541,0.007311995489464379,entropy,,sqrt,,1,3,996,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 996}",-0.11298742371545716,-0.11998888488124042,-0.08971366989556176,-0.10736654087894767,-0.12221226109397504,-0.1104537560930364,0.011621382583345392,1,Titanic,0.1104537560930364
