trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
68,2,-0.1530696744227114,0.1530696744227114,1.184317,"{'n_estimators': 411, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",411,gini,20.0,8,5,0.33,0.9,Gym,0.1786213871377209
69,2,-0.15123150657698028,0.15123150657698028,1.581202,"{'n_estimators': 491, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",491,log_loss,20.0,5,5,0.33,0.9,Gym,0.1786213871377209
70,2,-0.15395856915229944,0.15395856915229944,0.848589,"{'n_estimators': 336, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.5}",336,entropy,20.0,7,6,0.33,0.5,Gym,0.1786213871377209
71,2,-0.15155289448790088,0.15155289448790088,2.459837,"{'n_estimators': 768, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",768,log_loss,20.0,6,5,0.33,0.9,Gym,0.1786213871377209
72,1,-0.15447640142385627,0.15447640142385627,6.841699,"{'n_estimators': 412, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",412,log_loss,20.0,4,5,0.33,0.9,Gym,0.1786213871377209
73,1,-0.15448881745381388,0.15448881745381388,6.635914,"{'n_estimators': 405, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",405,log_loss,20.0,3,5,0.33,0.9,Gym,0.1786213871377209
74,1,-0.1545240976989179,0.1545240976989179,6.476203,"{'n_estimators': 403, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",403,log_loss,20.0,3,5,0.33,0.9,Gym,0.1786213871377209
75,1,-0.1549593344393481,0.1549593344393481,6.496009,"{'n_estimators': 418, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.9}",418,log_loss,20.0,2,6,0.33,0.9,Gym,0.1786213871377209
76,2,-0.15131019549501182,0.15131019549501182,0.822591,"{'n_estimators': 244, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.9}",244,log_loss,,3,4,0.33,0.9,Gym,0.1786213871377209
77,1,-0.1547344121398664,0.1547344121398664,8.681423,"{'n_estimators': 553, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.9}",553,log_loss,20.0,3,6,0.33,0.9,Gym,0.1786213871377209
78,2,-0.15133288093539204,0.15133288093539204,2.116105,"{'n_estimators': 641, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.9}",641,log_loss,20.0,2,4,0.33,0.9,Gym,0.1786213871377209
79,1,-0.1553804308901799,0.1553804308901799,2.148122,"{'n_estimators': 133, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",133,log_loss,20.0,4,5,0.33,0.9,Gym,0.1786213871377209
80,2,-0.15316686401639595,0.15316686401639595,0.821617,"{'n_estimators': 319, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.5}",319,log_loss,10.0,3,5,0.33,0.5,Gym,0.1786213871377209
81,1,-0.15454973449098378,0.15454973449098378,6.366456,"{'n_estimators': 394, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",394,log_loss,20.0,5,5,0.33,0.9,Gym,0.1786213871377209
82,1,-0.1545289835194818,0.1545289835194818,6.532118,"{'n_estimators': 401, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",401,log_loss,20.0,4,5,0.33,0.9,Gym,0.1786213871377209
83,1,-0.15449117061572398,0.15449117061572398,6.601162,"{'n_estimators': 411, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",411,log_loss,20.0,4,5,0.33,0.9,Gym,0.1786213871377209
84,2,-0.16733083416128655,0.16733083416128655,0.53926,"{'n_estimators': 263, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 9, 'max_features': 0.1, 'max_samples': 0.9}",263,log_loss,20.0,4,9,0.1,0.9,Gym,0.1786213871377209
85,1,-0.15471865335836094,0.15471865335836094,7.003864,"{'n_estimators': 425, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.9}",425,log_loss,20.0,2,4,0.33,0.9,Gym,0.1786213871377209
86,1,-0.1551089386915316,0.1551089386915316,5.411808,"{'n_estimators': 347, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.9}",347,log_loss,,3,6,0.33,0.9,Gym,0.1786213871377209
87,2,-0.15341922140977096,0.15341922140977096,1.431753,"{'n_estimators': 501, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",501,gini,20.0,4,5,0.33,0.9,Gym,0.1786213871377209
88,1,-0.15508323001840912,0.15508323001840912,2.919624,"{'n_estimators': 196, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",196,entropy,20.0,2,4,0.33,0.7,Gym,0.1786213871377209
89,2,-0.1532694505162124,0.1532694505162124,0.842987,"{'n_estimators': 306, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 0.25, 'max_samples': 0.9}",306,log_loss,20.0,3,5,0.25,0.9,Gym,0.1786213871377209
90,2,-0.1514547991396189,0.1514547991396189,1.874928,"{'n_estimators': 578, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",578,log_loss,20.0,5,5,0.33,0.9,Gym,0.1786213871377209
91,1,-0.1544906910224155,0.1544906910224155,7.057592,"{'n_estimators': 437, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",437,log_loss,20.0,5,5,0.33,0.9,Gym,0.1786213871377209
92,2,-0.15124657724279578,0.15124657724279578,1.691769,"{'n_estimators': 529, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",529,log_loss,20.0,4,5,0.33,0.9,Gym,0.1786213871377209
93,1,-0.15493749391152417,0.15493749391152417,6.985458,"{'n_estimators': 442, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.9}",442,log_loss,20.0,3,6,0.33,0.9,Gym,0.1786213871377209
94,1,-0.15454931221314436,0.15454931221314436,6.350663,"{'n_estimators': 398, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",398,log_loss,20.0,5,5,0.33,0.9,Gym,0.1786213871377209
95,2,-0.16373168244409647,0.16373168244409647,0.784558,"{'n_estimators': 353, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 0.1, 'max_samples': 0.9}",353,log_loss,10.0,4,5,0.1,0.9,Gym,0.1786213871377209
96,1,-0.1546922691317984,0.1546922691317984,8.138654,"{'n_estimators': 490, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.9}",490,log_loss,20.0,5,4,0.33,0.9,Gym,0.1786213871377209
97,2,-0.15371196543848376,0.15371196543848376,1.38698,"{'n_estimators': 530, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.5}",530,log_loss,20.0,15,5,0.33,0.5,Gym,0.1786213871377209
98,1,-0.15534099033833573,0.15534099033833573,4.854441,"{'n_estimators': 280, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.9}",280,log_loss,20.0,3,6,0.33,0.9,Gym,0.1786213871377209
99,2,-0.15228347791498173,0.15228347791498173,1.201675,"{'n_estimators': 397, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 0.25, 'max_samples': 0.9}",397,log_loss,,4,4,0.25,0.9,Gym,0.1786213871377209
