dataset,params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,brier_score
Bank,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 7, 'min_samples_split': 3, 'n_estimators': 781}",-0.18786629798957427,0.003620384372327734,34,4.709527397155762,0.18398137092590333,0.18786629798957427
Bank,"{'criterion': 'log_loss', 'max_depth': 15, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 13, 'n_estimators': 1463}",-0.1893199787089181,0.0032265297696677233,54,6.590170669555664,0.30381312370300295,0.1893199787089181
Bank,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.25, 'max_samples': None, 'min_samples_leaf': 7, 'min_samples_split': 8, 'n_estimators': 289}",-0.18733433132907806,0.003622247055824072,26,2.5450785636901854,0.06898136138916015,0.18733433132907806
Bank,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.9, 'min_samples_leaf': 9, 'min_samples_split': 14, 'n_estimators': 1382}",-0.1923820454958834,0.0027790157632035803,91,6.614338827133179,0.2454174518585205,0.1923820454958834
Bank,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 0.33, 'max_samples': 0.9, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 1348}",-0.1877264541632452,0.0036588545673534385,33,16.83842396736145,0.4467936515808105,0.1877264541632452
Bank,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 0.33, 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 10, 'n_estimators': 1236}",-0.18693530417368426,0.0037765144864547115,18,19.855800056457518,0.4599458694458008,0.18693530417368426
Bank,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.1, 'max_samples': None, 'min_samples_leaf': 7, 'min_samples_split': 3, 'n_estimators': 1236}",-0.19481533953437347,0.0024442615755385167,97,8.147326469421387,0.32131638526916506,0.19481533953437347
Bank,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 0.33, 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 741}",-0.1896292489787851,0.002840314202352753,61,7.623608589172363,0.1973848819732666,0.1896292489787851
Bank,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1253}",-0.18739722475741394,0.004135355136113009,28,18.88910279273987,0.7856074333190918,0.18739722475741394
Bank,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 0.1, 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 5, 'n_estimators': 302}",-0.1897017124305495,0.00336196079409557,64,2.5642794132232667,0.11144652366638183,0.1897017124305495
Bank,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.25, 'max_samples': 0.7, 'min_samples_leaf': 8, 'min_samples_split': 6, 'n_estimators': 983}",-0.1906385009703817,0.0030225513925809053,80,9.161312341690063,0.2724328517913818,0.1906385009703817
Bank,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.1, 'max_samples': 0.9, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1247}",-0.1885298703523884,0.003123191206318096,46,10.856018877029419,0.4996326923370361,0.1885298703523884
Bank,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 0.33, 'max_samples': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 502}",-0.18739456330550264,0.0037019839282640514,27,6.009378242492676,0.20737199783325194,0.18739456330550264
Bank,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.25, 'max_samples': 0.9, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 588}",-0.18614141330134165,0.004153893377082447,6,9.306716156005859,0.265609073638916,0.18614141330134165
Bank,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 0.33, 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 740}",-0.18669881262336188,0.0042817240102310285,14,12.401339149475097,0.2814053535461426,0.18669881262336188
Bank,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 362}",-0.1870228448009018,0.0035199246644993048,21,1.8170729160308838,0.09511151313781738,0.1870228448009018
Bank,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 996}",-0.18843219255345905,0.0041888373059131906,42,10.797952604293823,0.3741153240203857,0.18843219255345905
Bank,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 7, 'min_samples_split': 10, 'n_estimators': 1356}",-0.18910473629203378,0.0033037771318199685,50,6.578237867355346,0.2956386089324951,0.18910473629203378
Bank,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 0.33, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 727}",-0.18694269931870705,0.00423593937558142,19,9.381291151046753,0.22348952293395996,0.18694269931870705
Bank,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.33, 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 9, 'n_estimators': 353}",-0.1897811012129838,0.0031474958454934076,66,2.8903862476348876,0.06679949760437012,0.1897811012129838
Bank,"{'criterion': 'gini', 'max_depth': None, 'max_features': 0.1, 'max_samples': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 19, 'n_estimators': 977}",-0.1895373244196998,0.002991659428372472,60,3.594468832015991,0.21652889251708984,0.1895373244196998
Bank,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.1, 'max_samples': 0.9, 'min_samples_leaf': 9, 'min_samples_split': 5, 'n_estimators': 260}",-0.19216014039088186,0.0027990124234555176,90,1.11938157081604,0.052199697494506835,0.19216014039088186
Bank,"{'criterion': 'log_loss', 'max_depth': 15, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 1258}",-0.18753842737133583,0.003380009668131934,32,11.897760200500489,0.47101631164550783,0.18753842737133583
Bank,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.33, 'max_samples': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 137}",-0.18996552140123762,0.002914821662172557,68,1.156188154220581,0.03831005096435547,0.18996552140123762
Bank,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.25, 'max_samples': 0.7, 'min_samples_leaf': 8, 'min_samples_split': 3, 'n_estimators': 1400}",-0.19073854034780788,0.002984109417479093,81,11.150412130355836,0.30121655464172364,0.19073854034780788
Bank,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.33, 'max_samples': 0.9, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 1119}",-0.1893288943168139,0.002935106307915911,55,10.557498598098755,0.23444323539733886,0.1893288943168139
Bank,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 0.25, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 18, 'n_estimators': 116}",-0.18600445305025373,0.00424158822310478,2,1.116117572784424,0.035089302062988284,0.18600445305025373
Bank,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.1, 'max_samples': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 4, 'n_estimators': 1160}",-0.19533097649694092,0.0023222060609822013,99,3.0611218929290773,0.17092552185058593,0.19533097649694092
Bank,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 0.1, 'max_samples': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1239}",-0.1944345761926497,0.002283107717814951,95,3.4590502262115477,0.19485321044921874,0.1944345761926497
Bank,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 7, 'min_samples_split': 2, 'n_estimators': 1379}",-0.19186119354410403,0.002841134766768855,88,5.737187004089355,0.21595897674560546,0.19186119354410403
Bank,"{'criterion': 'gini', 'max_depth': None, 'max_features': 0.1, 'max_samples': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 4, 'n_estimators': 785}",-0.19147459558677693,0.002928563354477361,85,2.9148213386535646,0.15678825378417968,0.19147459558677693
Bank,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 0.25, 'max_samples': 0.7, 'min_samples_leaf': 7, 'min_samples_split': 3, 'n_estimators': 254}",-0.18712755730847827,0.0036658714070092156,23,2.1307440280914305,0.07393150329589844,0.18712755730847827
