model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
decision_tree,bayesian,1590,25,0.8919387702850929,0.10806122971490706,0.8923118323699413,0.10768816763005873,0.00037306208484833014,32
decision_tree,bayesian,1510,25,0.9309477124183007,0.06905228758169935,0.9359863339275105,0.06401366607248948,0.005038621509209862,32
decision_tree,bayesian,1461,25,0.8656888304911711,0.13431116950882893,0.8750205542588894,0.12497944574111064,0.009331723767718292,32
decision_tree,bayesian,24,25,0.9996210178253897,0.00037898217461029837,0.9996210178253897,0.00037898217461029837,0.0,32
decision_tree,bayesian,40945,25,0.9863707317073171,0.01362926829268285,0.986860975609756,0.013139024390243947,0.0004902439024389027,32
decision_tree,random,1590,25,0.8929236085693057,0.10707639143069425,0.8929236085693057,0.10707639143069425,0.0,32
decision_tree,random,1510,25,0.9179352346999406,0.08206476530005935,0.9310219845513963,0.06897801544860371,0.013086749851455637,32
decision_tree,random,1461,25,0.8745432717922981,0.12545672820770193,0.8745432717922981,0.12545672820770193,0.0,32
decision_tree,random,24,25,0.9941777904849769,0.005822209515023102,0.9986906276494244,0.0013093723505755994,0.004512837164447503,32
decision_tree,random,40945,25,0.9860707317073171,0.013929268292682928,0.986660975609756,0.013339024390244036,0.0005902439024388917,32
decision_tree,grid,1590,25,0.8848721677247525,0.11512783227524748,0.8891651169705785,0.11083488302942146,0.0042929492458260166,32
decision_tree,grid,1510,25,0.9041057635175281,0.09589423648247186,0.9370855614973262,0.06291443850267375,0.03297979797979811,32
decision_tree,grid,1461,25,0.8682119649533486,0.13178803504665138,0.8789684672375053,0.12103153276249468,0.0107565022841567,32
decision_tree,grid,24,25,0.9946977543686607,0.005302245631339297,0.9999757222820381,2.4277717961873613e-05,0.005277967913377424,32
decision_tree,grid,40945,25,0.9884756097560976,0.011524390243902394,0.9884756097560976,0.011524390243902394,0.0,32
random_forest,bayesian,1590,25,0.9089495782344192,0.09105042176558076,0.9093864506765958,0.09061354932340415,0.0004368724421766057,32
random_forest,bayesian,1510,25,0.9703565062388592,0.029643493761140838,0.9757694592988709,0.024230540701129066,0.0054129530600117715,32
random_forest,bayesian,1461,25,0.9139094598573936,0.08609054014260642,0.9157459157881227,0.0842540842118773,0.0018364559307291195,32
random_forest,bayesian,24,25,1.0,0.0,1.0,0.0,0.0,32
random_forest,bayesian,40945,25,0.9952048780487806,0.00479512195121945,0.9972,0.0028000000000000247,0.001995121951219425,32
random_forest,random,1590,25,0.9020465144428786,0.09795348555712136,0.903973337523594,0.09602666247640601,0.0019268230807153452,32
random_forest,random,1510,25,0.9681758764111705,0.03182412358882947,0.9778490790255496,0.022150920974450372,0.009673202614379095,32
random_forest,random,1461,25,0.8968176919877491,0.10318230801225092,0.9026005455737088,0.09739945442629117,0.005782853585959757,32
random_forest,random,24,25,0.999349838992938,0.0006501610070619446,1.0,0.0,0.0006501610070619446,32
random_forest,random,40945,25,0.9958048780487806,0.004195121951219405,0.9974000000000001,0.0025999999999999357,0.0015951219512194692,32
random_forest,grid,1590,25,0.9075715250559867,0.0924284749440133,0.9096061432243381,0.09039385677566192,0.0020346181683513764,32
random_forest,grid,1510,25,0.9725371360665479,0.027462863933452097,0.9798871063576946,0.020112893642305396,0.007349970291146701,32
random_forest,grid,1461,25,0.9146603341044581,0.08533966589554187,0.917249546262336,0.08275045373766399,0.002589212157877885,32
random_forest,grid,24,25,1.0,0.0,1.0,0.0,0.0,32
random_forest,grid,40945,25,0.9955048780487804,0.004495121951219594,0.9972000000000001,0.0027999999999999137,0.0016951219512196802,32
knn,bayesian,1590,25,0.8758012728676683,0.12419872713233171,0.8758012728676683,0.12419872713233171,0.0,32
knn,bayesian,1510,25,0.9764289958407606,0.023571004159239406,0.9793850267379678,0.02061497326203221,0.002956030897207196,32
knn,bayesian,1461,25,0.8607586248826985,0.1392413751173015,0.8607586248826985,0.1392413751173015,0.0,32
knn,bayesian,24,25,0.9983081663476285,0.001691833652371466,0.9997233270163438,0.00027667298365618986,0.0014151606687152762,32
knn,bayesian,40945,25,0.9220975609756097,0.07790243902439031,0.9254975609756098,0.07450243902439024,0.0034000000000000696,32
knn,random,1590,25,0.8758012728676683,0.12419872713233171,0.8758012728676683,0.12419872713233171,0.0,32
knn,random,1510,25,0.9764289958407606,0.023571004159239406,0.9804248366013072,0.019575163398692808,0.003995840760546598,32
knn,random,1461,25,0.8607586248826985,0.1392413751173015,0.8607586248826985,0.1392413751173015,0.0,32
knn,random,24,25,0.9983081663476285,0.001691833652371466,0.9997233270163438,0.00027667298365618986,0.0014151606687152762,32
knn,random,40945,25,0.9220975609756097,0.07790243902439031,0.9292585365853657,0.07074146341463428,0.007160975609756037,32
knn,grid,1590,25,0.8758012728676683,0.12419872713233171,0.8758012728676683,0.12419872713233171,0.0,21
knn,grid,1510,25,0.9764289958407606,0.023571004159239406,0.9804248366013072,0.019575163398692808,0.003995840760546598,21
knn,grid,1461,25,0.8607586248826985,0.1392413751173015,0.8607586248826985,0.1392413751173015,0.0,21
knn,grid,24,25,0.9983081663476285,0.001691833652371466,0.9997233270163438,0.00027667298365618986,0.0014151606687152762,21
knn,grid,40945,25,0.9220975609756097,0.07790243902439031,0.9292585365853657,0.07074146341463428,0.007160975609756037,21
