model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
xgboost,bayesian,1590,75,0.9282474257209167,0.07175257427908333,0.9287929108586989,0.07120708914130114,0.0005454851377821868,32
xgboost,bayesian,1510,75,0.9942369846261355,0.005763015373864477,0.9944756514731408,0.005524348526859235,0.0002386668470052422,32
xgboost,bayesian,1461,75,0.9366928253924485,0.06330717460755153,0.9366928253924485,0.06330717460755153,0.0,32
xgboost,bayesian,24,75,1.0,0.0,1.0,0.0,0.0,32
xgboost,bayesian,40945,75,0.9931720182450435,0.006827981754956469,0.9948243688750396,0.005175631124960445,0.0016523506299960244,32
xgboost,random,1590,75,0.9201353740252435,0.07986462597475652,0.9201353740252435,0.07986462597475652,0.0,32
xgboost,random,1510,75,0.9937631027253667,0.00623689727463328,0.9951722797051465,0.004827720294853455,0.0014091769797798248,32
xgboost,random,1461,75,0.9320822852271375,0.06791771477286246,0.9320822852271375,0.06791771477286246,0.0,32
xgboost,random,24,75,1.0,0.0,1.0,0.0,0.0,32
xgboost,random,40945,75,0.9926205121257283,0.007379487874271673,0.9934565325384999,0.006543467461500141,0.000836020412771532,32
xgboost,grid,1590,75,0.9286901177428607,0.0713098822571393,0.9286901177428607,0.0713098822571393,0.0,32
xgboost,grid,1510,75,0.9933029575528055,0.00669704244719449,0.994018605870021,0.005981394129979001,0.0007156483172154893,32
xgboost,grid,1461,75,0.9334919071462748,0.06650809285372516,0.9349472303847914,0.06505276961520856,0.0014553232385166037,32
xgboost,grid,24,75,1.0,0.0,1.0,0.0,0.0,32
xgboost,grid,40945,75,0.99418434719776,0.005815652802239946,0.9950436706859955,0.004956329314004471,0.000859323488235475,32
