id,auc_optymalne_random,auc_optymalne_optuna,auc_deafult_nasz,auc_deafult,auc_C,auc_l1_ratio,tuna_random,tuna_optuna,tuna_deafult,tuna_C,tuna_l1_ratio,frac_C,frac_l1_ratio
1,0.9139909765738788,0.9159,0.9128438361040909,0.9125519856669829,0.9137753289209067,0.9146922508316707,0.0011,0.0031,0.0014,0.0009,0.0018,0.8181818181818181,1.6363636363636362
2,0.8166770241501761,0.8211,0.8164379262635441,0.8030443967807122,0.8164379262635441,0.8165428319869984,0.0002,0.0047,0.0136,0.0,0.0001,0.0,0.5
3,0.832720246074342,0.833,0.8312384421476376,0.832137951733673,0.8326982813699647,0.8327860245995682,0.0015,0.0018,0.0006,0.0015,0.0015,1.0,1.0
4,0.7639242917691297,0.767,0.7617282263465727,0.7577632612737601,0.7617282263465727,0.7657974815377665,0.0022,0.0053,0.0062,0.0,0.0041,0.0,1.8636363636363638
5,0.9655042705629878,0.9657,0.9606701940035274,0.9651257270950134,0.9647113367077234,0.9644140462568647,0.0048,0.005,0.0004,0.004,0.0037,0.8333333333333334,0.7708333333333335
6,0.7934357384786569,0.7956,0.7880485553232335,0.7915803406575939,0.7940491300147953,0.7955342797402883,0.0054,0.0076,0.0019,0.006,0.0075,1.1111111111111112,1.3888888888888888
7,0.9571846184500942,0.9577,0.9571846184500942,0.9541242239889337,0.9572308689109158,0.957483686486901,0.0,0.0005,0.0031,0.0,0.0003,,inf
8,0.8126401715838513,0.8131,0.8126401715838513,0.8125807363208497,0.8126401715838513,0.8126456120828426,0.0,0.0005,0.0001,0.0,0.0,,
9,0.9997613761768623,0.9998,0.9994578200544404,0.9996643738498205,0.9997613761768623,0.9995482626030773,0.0003,0.0003,0.0001,0.0003,0.0001,1.0,0.33333333333333337
10,0.7459816192030958,0.7464,0.6730932946369187,0.7352959671080477,0.7441280206380877,0.7292901626458673,0.0729,0.0733,0.0107,0.071,0.0562,0.9739368998628256,0.7709190672153634
11,0.9937101058747085,0.9938,0.9930837442189352,0.9934377747200246,0.9937101058747085,0.9933012906267121,0.0006,0.0007,0.0003,0.0006,0.0002,1.0,0.33333333333333337
12,0.5754830917874396,0.5846,0.5754830917874396,0.3443604284814115,0.5851711825246797,0.5955156479731148,0.0,0.0091,0.2311,0.0097,0.02,inf,inf
13,0.821433739716523,0.8306,0.8201407473485975,0.8212260878184162,0.8214040043611854,0.8215933194568343,0.0013,0.0105,0.0002,0.0013,0.0015,1.0,1.153846153846154
14,0.9847787052020953,0.9855,0.9711325626514905,0.9796217954334686,0.9845431203544641,0.978045660948253,0.0136,0.0144,0.0052,0.0134,0.0069,0.9852941176470589,0.5073529411764706
15,0.7467757936507935,0.7505,0.7073980734767025,0.7379224270353303,0.7490047363031235,0.7386744751664107,0.0394,0.0431,0.0089,0.0416,0.0313,1.0558375634517767,0.7944162436548224
