id,auc_optymalne_random,auc_optymalne_optuna,auc_deafult_nasz,auc_deafult,tuna_random,tuna_optuna,tuna_deafult
1,0.9236156255449329,0.9321,0.9201132368336703,0.9116810512571744,0.0035,0.012,0.0119
2,0.8296109902967896,0.8332,0.8085550124427718,0.7310718643856481,0.0211,0.0246,0.0985
3,0.8371523652452927,0.8428,0.819085864490804,0.7984157446579698,0.0181,0.0237,0.0387
4,0.7684898803459514,0.7731,0.7552537300925742,0.6599459316930439,0.0132,0.0178,0.1085
5,0.9618177733805556,0.9625,0.9618177733805556,0.9518499400161552,0.0,0.0007,0.01
6,0.7997758091534916,0.8026,0.7918277025787755,0.7674447623589256,0.0079,0.0108,0.0323
7,0.9761279318593122,0.9772,0.9748701194129624,0.9765420202400845,0.0013,0.0023,-0.0004
8,0.9501295039450826,0.9566,0.9423729110013199,0.9508947441772104,0.0078,0.0142,-0.0008
9,0.9999677398337378,1.0,0.9991738165082307,0.9999096842103662,0.0008,0.0008,0.0001
10,0.6970967611907208,0.7112,0.6928294737690711,0.6507316040873087,0.0043,0.0184,0.0464
11,0.9899247028245997,0.9913,0.9888896851788149,0.988127635719655,0.001,0.0024,0.0018
12,0.6071597353497165,0.6431,0.5084934887628649,0.6015936777987818,0.0987,0.1346,0.0056
13,0.8312412032907126,0.8283,0.773369511348994,0.634157002676182,0.0579,0.0549,0.1971
14,0.995404826703162,0.9971,0.9918384011861594,0.9934738051125448,0.0036,0.0053,0.0019
15,0.7363431259600614,0.7678,0.7217293906810035,0.6574148745519713,0.0146,0.0461,0.0789
