id,auc_optymalne_random,auc_optymalne_optuna,auc_deafult_nasz,auc_deafult,auc_p,auc_n_neighbors,tuna_random,tuna_optuna,tuna_deafult,tuna_p,tuna_n_neighbors,frac_p,frac_n
1,0.8982702258814236,0.903,0.8961394082380997,0.8570031578474343,0.9000799780843268,0.8991757241081587,0.0021,0.0069,0.0413,0.0039,0.003,1.8571428571428572,1.4285714285714286
2,0.8094890547189578,0.8149,0.8094890547189578,0.7700092100232858,0.810164442634988,0.8131992266780089,0.0,0.0054,0.0395,0.0007,0.0037,inf,inf
3,0.8235274663734516,0.8267,0.8179987332165987,0.7638827582264588,0.8202038682438381,0.8203306861901546,0.0055,0.0087,0.0596,0.0022,0.0023,0.4,0.4181818181818182
4,0.7606515037245796,0.7607,0.7511282297488783,0.6817462743178219,0.7511282297488783,0.7606515037245796,0.0095,0.0096,0.0789,0.0,0.0095,0.0,1.0
5,0.9575242683643768,0.9573,0.9489040401867864,0.8951520626317374,0.9559558461545815,0.9529165053555299,0.0086,0.0084,0.0624,0.0071,0.004,0.8255813953488372,0.46511627906976744
6,0.7802096401452626,0.7814,0.7722802416150056,0.6890330814472444,0.7763955528655101,0.7785703018964821,0.0079,0.0091,0.0912,0.0041,0.0063,0.5189873417721519,0.7974683544303797
7,0.9496130301235608,0.953,0.9403770546367514,0.9243497107003201,0.945748044339847,0.9413718519932143,0.0092,0.0126,0.0253,0.0054,0.001,0.5869565217391305,0.10869565217391305
8,0.9468117581839465,0.9472,0.9117172816025971,0.9221212551277166,0.9144107591795398,0.9279633105507621,0.0351,0.0355,0.0247,0.0027,0.0162,0.07692307692307693,0.4615384615384615
9,1.0,1.0,0.9999159587810146,0.9986876640419947,0.9999870705816946,0.9999676764542363,0.0001,0.0001,0.0013,0.0001,0.0001,1.0,1.0
10,0.6660735231876171,0.6787,0.6587307777576235,0.6205014410383538,0.6593015498720197,0.6627750569361307,0.0073,0.02,0.0456,0.0006,0.004,0.0821917808219178,0.547945205479452
11,0.9917779879983183,0.9923,0.9907827848488324,0.9785550363745239,0.9919546051038998,0.9912730605562562,0.001,0.0015,0.0132,0.0012,0.0005,1.2,0.5
12,0.6408317580340265,0.6476,0.5497138206259189,0.5049359378281874,0.6149312119302667,0.5717417559336274,0.0911,0.0979,0.1359,0.0652,0.022,0.7156970362239297,0.24149286498353456
13,0.7723914659530181,0.7752,0.7388509763108336,0.6156975418772922,0.7425666567548816,0.7558888393299633,0.0335,0.0363,0.1567,0.0037,0.017,0.11044776119402985,0.5074626865671642
14,0.8634915380911948,0.8669,0.8579343246082609,0.8452789862722767,0.8579343246082609,0.8626061600413334,0.0056,0.009,0.0182,0.0,0.0047,0.0,0.8392857142857143
15,0.7371935803891448,0.7571,0.7108094918074758,0.6288146441372248,0.7370503712237583,0.7449684779825909,0.0264,0.0463,0.1084,0.0262,0.0342,0.9924242424242424,1.2954545454545454
