mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__feature_fraction,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__num_leaves,param_model__subsample,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1
30.64047082265218,2.61642894021968,0.9156603018442789,0.03442249408983165,0.6872700594236812,0.22648248189516848,9,1824,36,0.5780093202212182,"{'model__feature_fraction': np.float64(0.6872700594236812), 'model__learning_rate': np.float64(0.22648248189516848), 'model__max_depth': 9, 'model__n_estimators': 1824, 'model__num_leaves': 36, 'model__subsample': np.float64(0.5780093202212182)}",0.9979366601638875,1.0,0.9872894154015888,0.9950753585218255,0.005569561653816366,4,0.9054652880354506,0.9959379615952733,0.7717872968980798,0.8910635155096012,0.0920740224310967,19,0.8913412563667232,0.9957676029242016,0.8041825095057035,0.8970971229322094,0.07832011025266085,19
431.2365206082662,29.687698386375175,1.9512930711110432,0.4362307641916318,0.5779972601681014,0.0013927723945289009,9,1496,115,0.5714334089609704,"{'model__feature_fraction': np.float64(0.5779972601681014), 'model__learning_rate': np.float64(0.0013927723945289009), 'model__max_depth': 9, 'model__n_estimators': 1496, 'model__num_leaves': 115, 'model__subsample': np.float64(0.5714334089609704)}",0.9790847902689879,1.0,0.9869327631266334,0.9886725177985404,0.008626762979699587,22,0.871861152141802,0.9693500738552437,0.7717872968980798,0.8709995076317085,0.08065696718491573,45,0.8529037727850785,0.9671547289275821,0.8041825095057035,0.8747470037394547,0.068302421283182,47
337.63896171251935,9.245455285222777,1.813993771870931,0.16356569042184343,0.8254442364744264,0.0013795527822623858,9,1615,173,0.6061695553391381,"{'model__feature_fraction': np.float64(0.8254442364744264), 'model__learning_rate': np.float64(0.0013795527822623858), 'model__max_depth': 9, 'model__n_estimators': 1615, 'model__num_leaves': 173, 'model__subsample': np.float64(0.6061695553391381)}",0.9526109058815562,0.9999999999999999,0.9863412556017074,0.979650720494421,0.019916559364141377,37,0.8711225997045791,0.9663958641063516,0.7695716395864106,0.8690300344657804,0.08036677572823239,48,0.8595573440643863,0.963874553394204,0.8026565464895635,0.8753628146493847,0.06675912478398796,46
43.44033034642538,5.95793423697657,0.5145242214202881,0.19050268670951048,0.5909124836035503,0.002846526357761094,11,121,251,0.5115312125207079,"{'model__feature_fraction': np.float64(0.5909124836035503), 'model__learning_rate': np.float64(0.002846526357761094), 'model__max_depth': 11, 'model__n_estimators': 121, 'model__num_leaves': 251, 'model__subsample': np.float64(0.5115312125207079)}",0.9607665050802507,0.9999797915250025,0.9860397670017451,0.9822620212023327,0.016230095110488847,34,0.8954948301329394,0.9608567208271788,0.7717872968980798,0.8760462826193992,0.07840279019911708,42,0.8832026413536938,0.957667731629393,0.8041825095057035,0.88168429416293,0.0626692768227694,43
73.19827930132548,4.458939741746794,1.397512435913086,0.16627929931940386,0.7623873301291946,0.0097837221812336,4,1999,70,0.9916154429033941,"{'model__feature_fraction': np.float64(0.7623873301291946), 'model__learning_rate': np.float64(0.0097837221812336), 'model__max_depth': 4, 'model__n_estimators': 1999, 'model__num_leaves': 70, 'model__subsample': np.float64(0.9916154429033941)}",0.9962365074614475,1.0,0.759400081380075,0.9185455296138408,0.11254331385194656,44,0.9054652880354506,0.9977843426883308,0.7872968980797637,0.8968488429345151,0.08614686463280496,5,0.8913412563667232,0.9976958525345622,0.8192090395480226,0.9027487161497693,0.07331204178736873,5
13.205252488454184,0.4482648959425048,0.5908459822336832,0.076984644999374,0.73338144662399,0.1349511716041899,8,120,88,0.5325257964926398,"{'model__feature_fraction': np.float64(0.73338144662399), 'model__learning_rate': np.float64(0.1349511716041899), 'model__max_depth': 8, 'model__n_estimators': 120, 'model__num_leaves': 88, 'model__subsample': np.float64(0.5325257964926398)}",0.9961556778437279,1.0,0.9866995464016625,0.9942850747484635,0.005588672080520991,8,0.9054652880354506,0.9933530280649926,0.7717872968980798,0.8902018709995075,0.0910954526182729,20,0.8913412563667232,0.9930555555555556,0.8041825095057035,0.8961931071426608,0.07718338432158985,20
12.199796676635742,0.3669260926826414,0.5607731342315674,0.065736625173232,0.9744427686266666,0.24659691172104828,3,876,105,0.5488360570031919,"{'model__feature_fraction': np.float64(0.9744427686266666), 'model__learning_rate': np.float64(0.24659691172104828), 'model__max_depth': 3, 'model__n_estimators': 876, 'model__num_leaves': 105, 'model__subsample': np.float64(0.5488360570031919)}",0.9955117716322995,1.0,0.7447746072319031,0.9134287929547341,0.11927059380485355,49,0.9054652880354506,1.0,0.7872968980797637,0.897587395371738,0.08701416852535508,1,0.8913412563667232,1.0,0.8192090395480226,0.9035167653049152,0.074308030560701,1
95.70420940717061,5.566127167508563,1.2585995197296143,0.11422921811309332,0.8421165132560784,0.012311503632415646,8,1551,23,0.5171942605576092,"{'model__feature_fraction': np.float64(0.8421165132560784), 'model__learning_rate': np.float64(0.012311503632415646), 'model__max_depth': 8, 'model__n_estimators': 1551, 'model__num_leaves': 23, 'model__subsample': np.float64(0.5171942605576092)}",0.9965789410446244,1.0,0.9863412556017073,0.9943067322154439,0.005803017856083029,7,0.9054652880354506,0.991506646971935,0.7695716395864106,0.888847858197932,0.09136334460678357,23,0.8913412563667232,0.9911093931194433,0.8026565464895635,0.8950357319919101,0.07697989223745413,23
99.94994298617046,5.9133322844483525,1.0986843903859456,0.0732847307755373,0.954660201039391,0.004375517173207359,9,1511,17,0.7125779372456224,"{'model__feature_fraction': np.float64(0.954660201039391), 'model__learning_rate': np.float64(0.004375517173207359), 'model__max_depth': 9, 'model__n_estimators': 1511, 'model__num_leaves': 17, 'model__subsample': np.float64(0.7125779372456224)}",0.9729209857718026,1.0,0.9863412556017074,0.9864207471245033,0.011055104162614241,28,0.9054652880354506,0.9855982274741507,0.7680945347119645,0.8863860167405219,0.08981454238654223,34,0.8913412563667232,0.9848308051341891,0.8011399620012666,0.892437341167393,0.0749954777042753,34
19.827715078989666,1.8914969593830382,0.5945195357004801,0.13692319165476266,0.6039708314340944,0.025483703786459932,3,829,59,0.9697494707820946,"{'model__feature_fraction': np.float64(0.6039708314340944), 'model__learning_rate': np.float64(0.025483703786459932), 'model__max_depth': 3, 'model__n_estimators': 829, 'model__num_leaves': 59, 'model__subsample': np.float64(0.9697494707820946)}",0.9965920485502007,1.0,0.7456747036317906,0.9140889173939971,0.11909495953825443,46,0.9054652880354506,0.9878138847858198,0.7872968980797637,0.8935253569670113,0.08229494498391535,10,0.8913412563667232,0.9871944121071012,0.8192090395480226,0.8992482360072823,0.06880727477881136,13
