mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bylevel,param_model__l2_leaf_reg,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1
162.0869063536326,9.856875961901183,0.39636794726053876,0.04092841036466336,0.6872700594236812,7.969454818643936,0.06504856968981275,6,1738,0.7229163764267956,"{'model__colsample_bylevel': np.float64(0.6872700594236812), 'model__l2_leaf_reg': np.float64(7.969454818643936), 'model__learning_rate': np.float64(0.06504856968981275), 'model__max_depth': 6, 'model__n_estimators': 1738, 'model__subsample': np.float64(0.7229163764267956)}",0.5145862620748595,0.5169997346394547,0.5146013552392668,0.515395783984527,0.00113418112265642,38,0.5116018313763354,0.5130968324664403,0.5117112066280446,0.5121366234902734,0.0006804369649253378,37,0.5383460417464009,0.5373346355322738,0.5341297435440254,0.5366034736075668,0.0017972647649404463,37
375.2746692498525,6.570110860662574,0.9279849529266357,0.13617913911701282,0.5499874579090014,0.8288916866885143,0.006708674079838546,9,1787,0.8254442364744264,"{'model__colsample_bylevel': np.float64(0.5499874579090014), 'model__l2_leaf_reg': np.float64(0.8288916866885143), 'model__learning_rate': np.float64(0.006708674079838546), 'model__max_depth': 9, 'model__n_estimators': 1787, 'model__subsample': np.float64(0.8254442364744264)}",0.5246677417053476,0.527754376877325,0.5268804238709547,0.5264341808178757,0.0012990198402482468,24,0.5187342324103777,0.5214127760301492,0.5180651591602816,0.5194040558669363,0.0014464052622674614,23,0.5617945663887471,0.5597386969228124,0.5578258508844626,0.559786371398674,0.0016205719834313011,24
86.12480004628499,7.634801804592034,0.34076444307963055,0.1337169069196404,0.5282057895135501,2.7796975515266835,0.21130455749498983,3,1315,0.9961057796456088,"{'model__colsample_bylevel': np.float64(0.5282057895135501), 'model__l2_leaf_reg': np.float64(2.7796975515266835), 'model__learning_rate': np.float64(0.21130455749498983), 'model__max_depth': 3, 'model__n_estimators': 1315, 'model__subsample': np.float64(0.9961057796456088)}",0.5123483496318362,0.5141182132721097,0.5141180300776509,0.5135281976605323,0.0008342785452128003,41,0.5122558943532562,0.5116018313763354,0.5091883137108328,0.5110153464801415,0.0013192134397790195,41,0.5363846290484932,0.5354741238854164,0.529555767852878,0.5338048402622625,0.0030274540644070463,38
537.5900363922119,3.1045664743991397,1.0369205474853516,0.1468477679142797,0.8087407548138583,1.672269700618368,0.0010411279241071866,10,1684,0.7623873301291946,"{'model__colsample_bylevel': np.float64(0.8087407548138583), 'model__l2_leaf_reg': np.float64(1.672269700618368), 'model__learning_rate': np.float64(0.0010411279241071866), 'model__max_depth': 10, 'model__n_estimators': 1684, 'model__subsample': np.float64(0.7623873301291946)}",0.5281796819365747,0.5315620251751795,0.5303949137081272,0.5300455402732939,0.0014027610377773526,2,0.5192014202510356,0.5235618400971751,0.5206191989036317,0.5211274864172808,0.0018160547818555435,6,0.5798198100111598,0.5829493715750157,0.5771122406924029,0.5799604740928594,0.0023850735869987245,14
130.66971023877463,9.564351717010881,0.34388359387715656,0.03779055533758254,0.6999304858576277,0.12397420340784142,0.25829172494081126,4,1999,0.7571172192068059,"{'model__colsample_bylevel': np.float64(0.6999304858576277), 'model__l2_leaf_reg': np.float64(0.12397420340784142), 'model__learning_rate': np.float64(0.25829172494081126), 'model__max_depth': 4, 'model__n_estimators': 1999, 'model__subsample': np.float64(0.7571172192068059)}",0.5091376386353776,0.5101487136688311,0.5090316768863619,0.5094393430635235,0.0005034626532454491,50,0.5088298501884324,0.5094527673093096,0.5072572104902511,0.5085132759959977,0.000923862129293947,44,0.5250572220214432,0.5282171099928109,0.5239814647649997,0.5257519322597513,0.0017976168224211777,43
75.61264578501384,7.1273221228354675,0.37782994906107586,0.12404244780639267,0.7962072844310213,0.1238513729886093,0.03198617182203562,6,940,0.5325257964926398,"{'model__colsample_bylevel': np.float64(0.7962072844310213), 'model__l2_leaf_reg': np.float64(0.1238513729886093), 'model__learning_rate': np.float64(0.03198617182203562), 'model__max_depth': 6, 'model__n_estimators': 940, 'model__subsample': np.float64(0.5325257964926398)}",0.5250576403652251,0.52328561681425,0.5221857946256815,0.5235096839350523,0.00118308327233042,27,0.5177687108730183,0.5153081882455539,0.5162897900703918,0.516455563062988,0.0010113203956122097,29,0.559679208258681,0.551863157288487,0.5535046863320108,0.5550156839597263,0.0033650159549288923,27
477.4205542405446,0.21694125159246447,0.9027448495229086,0.12086473434925536,0.9744427686266666,8.536189862866832,0.10057690178153984,10,1469,0.5488360570031919,"{'model__colsample_bylevel': np.float64(0.9744427686266666), 'model__l2_leaf_reg': np.float64(8.536189862866832), 'model__learning_rate': np.float64(0.10057690178153984), 'model__max_depth': 10, 'model__n_estimators': 1469, 'model__subsample': np.float64(0.5488360570031919)}",0.5141033670430046,0.5171920647650481,0.5122765557398055,0.5145239958492861,0.0020286701208453006,39,0.5110100601115022,0.5129722490422649,0.5099046907120165,0.5112956666219279,0.0012685048512500199,40,0.5236939506097931,0.5258497831953668,0.5240327898605524,0.5245255078885708,0.0009465663652050039,44
34.30934945742289,1.0888655890913015,0.264687458674113,0.08148688400590884,0.8421165132560784,0.7591104805282696,0.002005873336344495,9,134,0.954660201039391,"{'model__colsample_bylevel': np.float64(0.8421165132560784), 'model__l2_leaf_reg': np.float64(0.7591104805282696), 'model__learning_rate': np.float64(0.002005873336344495), 'model__max_depth': 9, 'model__n_estimators': 134, 'model__subsample': np.float64(0.954660201039391)}",0.5267220518970359,0.5316333054105844,0.5294664127705391,0.5292739233593865,0.0020096254872720267,12,0.519107982682904,0.5212259008938861,0.5202142901638324,0.5201827245802075,0.0008649245349179499,16,0.5857702419917369,0.58900593551147,0.5802724795640327,0.5850162190224132,0.0036050636772145483,9
77.34136358896892,1.126011551490881,0.4007628758748372,0.0751109854237085,0.6293899908000085,2.113705944064573,0.005917607170144194,7,665,0.7733551396716398,"{'model__colsample_bylevel': np.float64(0.6293899908000085), 'model__l2_leaf_reg': np.float64(2.113705944064573), 'model__learning_rate': np.float64(0.005917607170144194), 'model__max_depth': 7, 'model__n_estimators': 665, 'model__subsample': np.float64(0.7733551396716398)}",0.5291255369993307,0.5302376711542531,0.5304103015325501,0.5299245032287113,0.0005693332876536123,4,0.5187342324103777,0.5223160058554209,0.5213355759048153,0.5207952713902047,0.0015113397983876396,9,0.5771672504378283,0.5792433678088392,0.577500412382471,0.5779703435430462,0.0009103817171249128,16
20.606144428253174,2.72511451260925,0.31318004926045734,0.022025233169428653,0.5924272277627636,8.692991511139551,0.08319514671870787,3,301,0.9474136752138245,"{'model__colsample_bylevel': np.float64(0.5924272277627636), 'model__l2_leaf_reg': np.float64(8.692991511139551), 'model__learning_rate': np.float64(0.08319514671870787), 'model__max_depth': 3, 'model__n_estimators': 301, 'model__subsample': np.float64(0.9474136752138245)}",0.5264027348601565,0.5282668083475178,0.5277639450140758,0.5274778294072501,0.00078743850423287,21,0.5188588158345532,0.5217865263026754,0.5204011711206628,0.5203488377526305,0.001195805511596077,13,0.5668218271549549,0.5691677422975475,0.5657397484347679,0.5672431059624234,0.0014308254857552756,19
