number,value,user_attrs_colsample_bylevel,user_attrs_l2_leaf_reg,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
0,0.8965404606729533,0.6331055146891311,2.2960116513885156,0.0019513216691034248,7,106,0.871649904478033,COMPLETE
1,0.9145699025222456,0.7564602781403937,3.471196046561724,0.003489668151522514,7,500,0.7553545430575114,COMPLETE
2,0.9208747580080079,0.5745503848435228,0.11808637909971466,0.10823964745597955,2,258,0.5245503833935519,COMPLETE
3,0.940116161580236,0.7355188316518145,0.2621568344504535,0.025511326415669562,6,1235,0.7441916712828709,COMPLETE
4,0.9402899772997367,0.8586988001837497,1.9017885310412093,0.024536558752761548,7,1595,0.9934164747361558,COMPLETE
5,0.9249842754605906,0.7824417673941664,3.228414131925681,0.0021329734642579114,7,1734,0.6852690846857805,COMPLETE
6,0.9361845728431014,0.5416101486578985,3.0215526857972987,0.13370606999322196,9,375,0.5068618220167089,COMPLETE
7,0.9103451794186782,0.8005871861992471,0.6865424847517155,0.009291248919847032,7,176,0.5876640483415938,COMPLETE
8,0.9251397475754745,0.5477483892182524,0.2537293966870137,0.006363460339556043,11,283,0.9905053339385343,COMPLETE
9,0.936065742866758,0.5020206964681951,0.36282453238690804,0.009568906038850624,7,1152,0.770465895893556,COMPLETE
10,0.9109671023146998,0.9476864474567096,0.7289587723772942,0.0017291765439749593,10,204,0.9570030053266738,COMPLETE
11,0.9226804954027918,0.5797121105956875,1.9463538526238775,0.01744864147895393,3,737,0.9023324294317603,COMPLETE
12,0.9285122293175102,0.6900768457663272,8.596642067358266,0.024070506054496888,3,904,0.9766670416279755,COMPLETE
13,0.9358535181055854,0.8044079169610956,0.35138042903055283,0.04110929411361533,9,448,0.9258930452382419,COMPLETE
14,0.9034685035836146,0.9244317486567522,0.13774058462352487,0.006381654801948962,2,1124,0.6584879853620684,COMPLETE
15,0.9340923242040894,0.5536168363517509,0.19181323399355038,0.007216577397218764,11,1950,0.8511949452306464,COMPLETE
16,0.9361108878611092,0.757543070741924,0.30639997476602415,0.16015566039844484,6,241,0.5671951141959106,COMPLETE
17,0.9347429553212768,0.9890557334402144,1.1006178490638365,0.14707134657826365,2,1373,0.7684181675487411,COMPLETE
18,0.9386648785381834,0.6536744945102098,0.3826885205165402,0.06441132385869833,6,1527,0.5110624576030964,COMPLETE
19,0.9138804651075704,0.6795780935677481,7.273002264402863,0.0071768739340503955,2,1922,0.5958590783790633,COMPLETE
20,0.9357681636330876,0.9267545811801106,0.25950742573231367,0.12875131160282155,6,1682,0.9937713427209106,COMPLETE
21,0.9288462990416702,0.5684840815055577,0.2952454885594337,0.03250890024654056,2,1828,0.7643177266579047,COMPLETE
22,0.9180091375869422,0.5265353427461941,2.238059992108466,0.002019932918806089,5,1944,0.6840899827149074,COMPLETE
23,0.9392695619106198,0.6397397012830106,1.056342857260797,0.06297904103439322,4,1437,0.8130952390476879,COMPLETE
24,0.9192260069281423,0.7214464857700611,0.5347302905715478,0.013329613046916837,5,301,0.7821347187288983,COMPLETE
25,0.9099722731945376,0.9458998305021977,0.556650210198764,0.007551206646356834,2,1400,0.5958761237785543,COMPLETE
26,0.9241056145188642,0.6820466669882435,2.514670431820794,0.008198162392694337,9,287,0.9555638290216311,COMPLETE
27,0.9310669764382323,0.5940994094012872,0.2818373330490003,0.2982705088130892,4,1296,0.5890944792447244,COMPLETE
28,0.9341442960784153,0.835458554009028,0.8029767404360084,0.003862286478382099,8,1842,0.6297486261749824,COMPLETE
29,0.9395756917925029,0.727133166256688,0.128382683902284,0.017725512947566423,6,1375,0.7511280678347061,COMPLETE
30,0.9171113704816324,0.9138245848148343,1.1030975014450846,0.002593367721082727,9,463,0.681708217225633,COMPLETE
31,0.9325718265389971,0.6584592436686294,0.5208243746101734,0.13397574925888622,11,1599,0.5006768661493057,COMPLETE
32,0.9227826417663655,0.5491532064846056,0.1435065966062954,0.024941570086545312,4,309,0.9289591516788265,COMPLETE
33,0.9309015300771395,0.8034668666808025,0.7678270944123813,0.24282746371377445,10,585,0.9655042374089017,COMPLETE
34,0.9392822710094442,0.7523371546062616,0.20357343916732248,0.037072687221966875,7,1160,0.8667624756131496,COMPLETE
35,0.9280106112734517,0.8474045348986563,0.31776325816576545,0.01326861468284352,3,1477,0.9916997447456375,COMPLETE
36,0.938745271675289,0.620566357438392,2.7958555210938867,0.050583442462856995,9,565,0.9575029928503658,COMPLETE
37,0.909909181097362,0.851403462865024,5.148850174544311,0.008059812930239335,9,144,0.7302413169177019,COMPLETE
38,0.9403382066581369,0.9588930430622535,1.4900849709336565,0.016790036582062826,6,1928,0.7980304369389628,COMPLETE
39,0.9296075082664176,0.8177033165980447,4.284292778187407,0.008557883412069766,7,665,0.5557667619903373,COMPLETE
40,0.9219844556137594,0.5720395742244514,0.8626279134395166,0.015082741494322469,3,818,0.6261841288707827,COMPLETE
41,0.9317536175424695,0.5237144815942147,1.536100369924853,0.2796170251707771,9,779,0.6069205584298003,COMPLETE
42,0.9210116833811594,0.5929039747710004,0.1771285854453538,0.05413123895540975,2,481,0.706167776772834,COMPLETE
43,0.9396841499875593,0.8811184230418472,0.64323762092301,0.029907329547206825,5,1251,0.6947858286419581,COMPLETE
44,0.9242098951024019,0.7286328531914767,0.11852129216646493,0.014480208694838867,4,580,0.6150314923899098,COMPLETE
45,0.9358696026861827,0.517171450176545,4.4866133182346735,0.009426142089577086,8,1101,0.6929665170301158,COMPLETE
