number,value,user_attrs_feature_fraction,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_num_leaves,user_attrs_subsample,state
0,0.9997939127443813,0.724610067120611,0.0032222513357817143,3,824,122,0.6898503743597377,COMPLETE
1,0.9999912612192906,0.898539556642177,0.0025725909378369787,10,150,95,0.5177660036045917,COMPLETE
2,1.0,0.6427129526516827,0.05804783922360682,10,260,250,0.9625096060414278,COMPLETE
3,1.0,0.99632607220726,0.16190650669185347,11,599,79,0.9381261055340695,COMPLETE
4,1.0,0.8432380638183326,0.018608005033329864,11,1731,201,0.9694150702853185,COMPLETE
5,1.0,0.5181015119877241,0.017619273776450443,6,1620,215,0.6716096120115642,COMPLETE
6,1.0,0.7757990885791787,0.05046149723558104,5,1894,235,0.5988470556046902,COMPLETE
7,1.0,0.7907666885548938,0.06171039817865323,9,1650,233,0.7018529758361536,COMPLETE
8,1.0,0.957024361233537,0.0017754799048144666,9,1611,233,0.98323938452291,COMPLETE
9,1.0,0.8400539544107836,0.006190489949518333,5,481,170,0.9591690716081982,COMPLETE
10,1.0,0.6883688914302417,0.17474843465315912,10,1750,225,0.6857960761042865,COMPLETE
11,1.0,0.6825459639046563,0.026013021355097362,3,1061,84,0.6205397924339284,COMPLETE
12,1.0,0.6155871370179267,0.018877329564156237,5,1521,59,0.8185355293756824,COMPLETE
13,1.0,0.8027291134074639,0.02111972308513122,10,1873,29,0.6920113062712469,COMPLETE
14,1.0,0.6865337084420544,0.17698062953126603,3,1819,84,0.8802823886092319,COMPLETE
15,1.0,0.5770298788591135,0.2580032782697036,7,1668,226,0.6457510669930042,COMPLETE
16,1.0,0.5199328548071893,0.03756683457102351,10,516,254,0.6603715076112702,COMPLETE
17,1.0,0.7632231074678932,0.07403375127140997,11,1402,249,0.8189926955890385,COMPLETE
18,1.0,0.7563524847633087,0.030201948085388165,3,571,180,0.6156857124497855,COMPLETE
19,1.0,0.8005108308513312,0.05121912013338374,5,1064,153,0.9750671408593383,COMPLETE
20,1.0,0.6686172243770981,0.017387757716735744,7,211,175,0.8000027471532741,COMPLETE
21,1.0,0.5139366797473551,0.001611104619442794,8,276,117,0.5570004398089775,COMPLETE
22,1.0,0.7024185985108502,0.010724518208153067,9,1601,195,0.7701145670996489,COMPLETE
23,1.0,0.6994810737517787,0.0016286211293145994,10,1456,252,0.6000837886440528,COMPLETE
24,1.0,0.724395196252142,0.0033694196631734725,11,1912,36,0.7565230266467086,COMPLETE
25,1.0,0.5264098456798318,0.004670697986338376,10,1329,168,0.5907747968039676,COMPLETE
26,1.0,0.5893857726411806,0.005412904866574195,6,1739,204,0.937795063468599,COMPLETE
27,1.0,0.8840079192495773,0.018504357608540717,6,481,184,0.6912728508070818,COMPLETE
28,1.0,0.5403531947296079,0.09289634301652636,3,1406,150,0.5703184022092143,COMPLETE
29,1.0,0.8588128120651204,0.08839401729359449,5,596,243,0.9183873878266697,COMPLETE
30,1.0,0.7954076850019797,0.03387138880761197,3,286,24,0.8684462660630691,COMPLETE
31,1.0,0.8104804391900728,0.007104901598297996,11,746,174,0.612621854928961,COMPLETE
32,1.0,0.660920565149018,0.001027230763291255,9,1218,201,0.6929281908646316,COMPLETE
33,1.0,0.8571636043656833,0.012396895995921017,8,903,190,0.7428646874701048,COMPLETE
34,1.0,0.9141648316244291,0.0030019799318789426,8,1946,138,0.7572830109066557,COMPLETE
35,1.0,0.5890477882096641,0.011063179533776285,11,1074,112,0.5091992441605385,COMPLETE
36,1.0,0.5870191392231185,0.015200893004036802,11,512,41,0.9325321556935591,COMPLETE
37,0.9999708710524605,0.7263794661298317,0.0011233417049027609,5,500,114,0.7184288873375824,COMPLETE
38,0.9999672299243731,0.8282874843454896,0.001397498818640941,5,381,111,0.7929444539147452,COMPLETE
39,1.0,0.8966334287458235,0.028543945032610044,5,669,74,0.6603676899865343,COMPLETE
40,0.9995057190032979,0.9208489028349602,0.0010056686242398132,3,1723,147,0.7579340528340546,COMPLETE
41,1.0,0.926992788752343,0.003992586446629541,11,1769,132,0.8152956646534459,COMPLETE
42,1.0,0.5805904354666768,0.040050614205280735,7,262,41,0.7436346428939722,COMPLETE
43,1.0,0.9019346905225066,0.0021812386202920164,6,1977,85,0.8031193756649935,COMPLETE
44,1.0,0.6464768439257067,0.13529987758618028,6,1554,98,0.8767507212026799,COMPLETE
45,1.0,0.5712516076211043,0.0010474507207686127,7,303,175,0.5162852695725972,COMPLETE
46,1.0,0.6615125061652696,0.21896602868147963,7,1789,253,0.767058299316854,COMPLETE
47,1.0,0.5078336174457707,0.002171246768946129,5,1022,43,0.5971947935104952,COMPLETE
48,1.0,0.5494643354714384,0.0028964047247733945,8,1575,204,0.5597991787940471,COMPLETE
49,1.0,0.8955449600547678,0.03108722113204154,4,1198,236,0.9198873448315129,COMPLETE
