number,value,user_attrs_colsample_bylevel,user_attrs_l2_leaf_reg,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
35,1.0,0.644678627772955,1.0454235061257249,0.05756628403933024,7,462,0.8719361810465529,COMPLETE
36,1.0,0.9260776099723399,0.1784858747493861,0.01972936790347163,7,1124,0.9394872645593784,COMPLETE
37,1.0,0.558676163521924,0.5331730299224103,0.1653734302090135,6,1093,0.6159732371326425,COMPLETE
38,1.0,0.8735165384917656,1.2401069178695538,0.006827849907469678,7,981,0.6733731606464542,COMPLETE
39,0.9999188023980677,0.85545210782767,0.9111183058921654,0.014217041364011794,2,353,0.5833207160761393,COMPLETE
40,0.9999639525657416,0.7922420151719334,2.1720145646832143,0.005150448869778142,2,1826,0.5467681581048809,COMPLETE
41,1.0,0.9326260553985943,0.4094186719936874,0.004878987321278143,7,830,0.622608580719439,COMPLETE
42,0.9998674641567228,0.6196859975770919,0.23031738471589985,0.0029754705708807,4,121,0.7049622516353371,COMPLETE
43,1.0,0.6789794837074958,9.840867984012963,0.006708189397803785,6,1249,0.7214471918262855,COMPLETE
44,0.9999872559166683,0.7109387102131979,1.4082159775063294,0.00998359320558247,2,1705,0.8009464576945453,COMPLETE
45,1.0,0.7801030802804566,0.2530090237271416,0.0022250427603249345,9,849,0.7709858987593612,COMPLETE
46,1.0,0.793708746678401,0.1492424281859433,0.005752844164414002,7,1092,0.9716914219501132,COMPLETE
47,1.0,0.9786020611238438,0.11787997375149231,0.07502128625141738,5,227,0.6477172210867714,COMPLETE
48,1.0,0.8400931490696069,0.4654375765685776,0.23186056887339185,8,613,0.6196545332673642,COMPLETE
49,1.0,0.7231412549492235,0.6221683451036641,0.0010368088614788181,5,1647,0.8317653063586283,COMPLETE
