number,value,user_attrs_feature_fraction,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_num_leaves,user_attrs_subsample,state
0,0.9228693037812231,0.9937124076831763,0.014947147288636522,2,1900,16,0.9915641028521864,COMPLETE
1,0.903291958387098,0.657575974414722,0.26208661506161446,8,1766,153,0.6150424815819651,COMPLETE
2,0.9128211239473604,0.5417890046231839,0.001466834642416061,4,1709,122,0.8491075521065425,COMPLETE
3,0.9267159621267348,0.9474285377277456,0.008491522086002498,9,692,87,0.9180541969302647,COMPLETE
4,0.8973831232243312,0.9736499887081693,0.001638326221208453,3,776,217,0.9857661213838497,COMPLETE
5,0.9258157993904286,0.8232465060073345,0.06413963278359817,7,659,131,0.6462588984932305,COMPLETE
6,0.9284716991343375,0.5881023133546166,0.010131467691057596,10,1721,180,0.9102551668869137,COMPLETE
7,0.9249750017466706,0.8645628942016794,0.0025464060046498766,10,1562,151,0.503123529695947,COMPLETE
8,0.9171361527587033,0.7829904450295814,0.0012683104583252564,6,1707,203,0.9404744606657334,COMPLETE
9,0.9193312853054247,0.6215715209791619,0.05222980865010481,8,1806,152,0.7631849871098741,COMPLETE
10,0.9125767592188104,0.5745699946961007,0.0017746190983924115,5,690,163,0.6532101183556192,COMPLETE
11,0.9103098365868053,0.7331195221091166,0.18833022790440868,7,1422,95,0.8310134600545491,COMPLETE
12,0.9226219847911495,0.7544032115139998,0.0013851560927721771,10,1566,137,0.9775200165868345,COMPLETE
13,0.9280828936025257,0.931950534638518,0.05588830488434567,10,144,30,0.6904858302317683,COMPLETE
14,0.9284703264723179,0.7567883607377153,0.004640630819923006,8,1850,85,0.6241957796709872,COMPLETE
15,0.9134703436753765,0.5133346165247779,0.15918293521882299,8,1168,129,0.9839819811321882,COMPLETE
16,0.9255371710179553,0.8626936795813387,0.004868667003316609,7,1111,169,0.8355119772028159,COMPLETE
17,0.9281368977159706,0.7954241480568351,0.06732119526353202,2,1142,102,0.7118075708817875,COMPLETE
18,0.928038614192208,0.8570624462864589,0.05557471007142903,11,198,101,0.910806136977744,COMPLETE
19,0.926986350204821,0.9922462746571374,0.029804153724600015,11,1337,22,0.6678138774578591,COMPLETE
20,0.9178986466621969,0.7707990647722045,0.0071836297954393485,5,499,108,0.735396558240878,COMPLETE
21,0.9193891120016556,0.637086332518589,0.0014190528501929983,7,1397,166,0.542896084808433,COMPLETE
22,0.9044729286362964,0.5025386644714125,0.27607772134406955,10,1311,112,0.9402290459647565,COMPLETE
23,0.9207642078155273,0.6244549837091664,0.025753771742140982,11,1896,162,0.8154545713200184,COMPLETE
24,0.9268788733226749,0.928027908323321,0.10020320472010165,5,569,26,0.9165555721568435,COMPLETE
25,0.9163266632061622,0.5492338566331165,0.002867154474104561,7,340,165,0.8328568529618356,COMPLETE
26,0.9185239121139771,0.8152098323830134,0.002731721445172332,11,303,211,0.8569100759066688,COMPLETE
27,0.9238171979004007,0.8443805202286405,0.0031608930006507985,6,1640,231,0.9856158902597278,COMPLETE
28,0.9188483047320594,0.9184861913239377,0.0013745517313836478,9,1153,164,0.5028100856156021,COMPLETE
29,0.9267602717175617,0.7660081571311963,0.05868614066180252,4,252,96,0.6853715935981635,COMPLETE
30,0.9265074787716712,0.8875077151437161,0.003804174193870276,8,1508,98,0.8558459066534487,COMPLETE
31,0.9174421642238105,0.6579906425710969,0.0032848631118941054,6,605,199,0.948337579826364,COMPLETE
32,0.9067704784131662,0.7599677619298802,0.16290158921091946,9,1931,108,0.9223143327197934,COMPLETE
33,0.9284898836595175,0.7887460384839999,0.006713844539958413,9,1743,139,0.8194529788358096,COMPLETE
34,0.9265580267437091,0.6892279207890344,0.0043405317042123385,7,1446,25,0.9009704651603792,COMPLETE
35,0.9111444980815815,0.521909411092335,0.15140680176116836,10,1062,193,0.9381074692048723,COMPLETE
36,0.9203913647632554,0.9569714219541422,0.04140578529321817,9,1322,134,0.9012354562725595,COMPLETE
37,0.9202972655653844,0.8204316185961029,0.005676100291289296,3,1900,98,0.5600330953875285,COMPLETE
38,0.9236897448014716,0.7886281244433423,0.022258801045683545,9,1840,146,0.9012266503279214,COMPLETE
39,0.9249263464516222,0.7729939652829343,0.1888644409910955,3,1358,25,0.9484541345503466,COMPLETE
40,0.9289762358665584,0.6273827351478565,0.05945671174386955,4,814,228,0.6716647904471933,COMPLETE
41,0.9122245857227224,0.8241918816352991,0.008460015592683027,5,197,196,0.8765397553444687,COMPLETE
42,0.9288000901178491,0.9680609492145589,0.020550732004678576,5,1668,45,0.6662469505301327,COMPLETE
43,0.9066744920675114,0.501554050829282,0.00931540328197609,2,486,17,0.597820314084377,COMPLETE
44,0.9248820335228753,0.9442259275144226,0.025788428023969082,7,1774,172,0.643838657252773,COMPLETE
45,0.9110956738393544,0.7106702155888963,0.22778929935110823,6,1281,36,0.9811861593740512,COMPLETE
46,0.9161561423903075,0.5261349900079801,0.0016522985439501048,6,885,48,0.7273317215056996,COMPLETE
47,0.9186082183906429,0.6295265322406594,0.006119235005881505,7,319,34,0.8037250959962154,COMPLETE
48,0.9141397583053804,0.6686321052934674,0.0011938473601602474,6,1090,22,0.6040542264757367,COMPLETE
49,0.9259247637931004,0.8269436175978476,0.0024847519460243876,8,1950,59,0.5531345841932309,COMPLETE
