number,value,user_attrs_colsample_bylevel,user_attrs_l2_leaf_reg,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
0,0.5208150351615496,0.6457619795984975,0.41385679897268435,0.08017292370488424,6,503,0.5636819263267723,COMPLETE
1,0.5296717062858868,0.6562077639071524,0.3261029185154459,0.0031950757939046667,7,608,0.6492093151151377,COMPLETE
2,0.5092436899821421,0.6348856525833083,0.8976549910027305,0.2739857159539571,8,660,0.9305487246205528,COMPLETE
3,0.5292341795900569,0.8994558543999298,7.1951278195206845,0.0022206879377794507,10,399,0.824256641716103,COMPLETE
4,0.5291218611387011,0.7364233374754943,5.581610213518495,0.004427133816357883,6,1983,0.6109539967590971,COMPLETE
5,0.5234407546560252,0.9181486296009482,9.30720906020335,0.026428562796334622,6,1423,0.7984659865558468,COMPLETE
6,0.52202709694265,0.6816122200095953,4.259329834108083,0.015308094214174013,11,702,0.5260723652937932,COMPLETE
7,0.5207377175497188,0.6844592862379254,1.11616659816395,0.11203547821744884,8,194,0.7670428563006866,COMPLETE
8,0.524528008259249,0.750061512146138,0.4237728699775763,0.013676802569118227,10,512,0.5736453795899071,COMPLETE
9,0.5232709123511706,0.8808420517914467,0.7108821817926863,0.010109499795722636,10,849,0.7468381166881986,COMPLETE
10,0.5260834249575234,0.5008561222606888,0.8838809094916239,0.022631859606461458,9,470,0.8874419938784083,COMPLETE
11,0.5291974151928431,0.7294229436519835,0.3003173941625002,0.0019185818400316444,5,1163,0.9109361124631652,COMPLETE
12,0.5198837444669359,0.7893737665879978,3.21275324309116,0.011390047323504853,11,1664,0.8770395504629572,COMPLETE
13,0.5282197095006133,0.9758031322192576,0.23094193225904783,0.0010375437762527658,4,529,0.5378367526992138,COMPLETE
14,0.5292592123112658,0.5859608751172183,3.4156386874422218,0.0032649596103183983,11,617,0.7190774460211045,COMPLETE
15,0.5291144587153495,0.5405139882423382,2.6726395189567786,0.002513780679473692,5,674,0.9855239932218541,COMPLETE
16,0.513753625652256,0.5272120987363695,2.9921777825506335,0.11520900067784148,6,1642,0.8234939289611116,COMPLETE
17,0.5281508479935302,0.9237440698494037,0.6341082984518456,0.006461249472397125,8,1444,0.7137559384495119,COMPLETE
18,0.5289636420827303,0.8075234524981278,2.5278071289835187,0.002795168071595935,4,701,0.5505037029225264,COMPLETE
19,0.5301277132400941,0.80930972642027,5.079963627504318,0.0017277209201454948,9,1075,0.5606210217231336,COMPLETE
20,0.5288912837391493,0.9371648453579859,2.265800542496592,0.01983368712565548,7,103,0.5698219670006199,COMPLETE
21,0.5205964292653473,0.8853413747159834,3.554458666534204,0.022905452213549414,10,1194,0.5861501860127114,COMPLETE
22,0.5291407619187657,0.5592062131385102,0.8939703771346145,0.0035854836208204875,3,1659,0.8524375180540815,COMPLETE
