mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__gamma,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.6499999364217123,0.014143657494861383,0.07469065984090169,0.004316322657281685,0.6872700594236812,3.6010467344475403,0.06504856968981275,6,1738,0.7229163764267956,"{'model__colsample_bytree': np.float64(0.6872700594236812), 'model__gamma': np.float64(3.6010467344475403), 'model__learning_rate': np.float64(0.06504856968981275), 'model__max_depth': 6, 'model__n_estimators': 1738, 'model__subsample': np.float64(0.7229163764267956)}",0.9845403914458949,0.9958092465124168,0.995134344390892,0.9918279941164011,0.005160473991846602,20,0.9512195121951219,0.9474178403755869,0.8657276995305164,0.9214550173670751,0.039435716823699146,39,0.9537366548042705,0.946969696969697,0.885691446842526,0.9287992662054978,0.0306067639284378,39
1.4460748831431072,0.04720104935540015,0.21392122904459634,0.015681170266307488,0.5499874579090014,0.0001359064372443865,0.006708674079838546,9,1787,0.8254442364744264,"{'model__colsample_bytree': np.float64(0.5499874579090014), 'model__gamma': np.float64(0.0001359064372443865), 'model__learning_rate': np.float64(0.006708674079838546), 'model__max_depth': 9, 'model__n_estimators': 1787, 'model__subsample': np.float64(0.8254442364744264)}",0.9949455580520117,0.9968162994162627,0.988765176463937,0.9935090113107372,0.0034402417650766194,13,0.9652908067542214,0.9615023474178404,0.8788732394366198,0.9352221312028939,0.039874689620537536,6,0.9671694764862466,0.96171802054155,0.8957154405820533,0.9415343125366166,0.03247518399609917,8
0.5008336702982584,0.023373129830972658,0.08029564221700032,0.00545873507390993,0.5282057895135501,0.031476682280899074,0.21130455749498983,3,1315,0.9961057796456088,"{'model__colsample_bytree': np.float64(0.5282057895135501), 'model__gamma': np.float64(0.031476682280899074), 'model__learning_rate': np.float64(0.21130455749498983), 'model__max_depth': 3, 'model__n_estimators': 1315, 'model__subsample': np.float64(0.9961057796456088)}",0.997502760014532,0.9963640089892722,0.9787441166909302,0.9908702952315781,0.00858709663678147,26,0.9737335834896811,0.9671361502347418,0.8788732394366198,0.9399143243870142,0.04324651870635984,1,0.975,0.9675023212627669,0.8953771289537713,0.945959816738846,0.035898096739552944,1
1.4806198279062908,0.07694085596302568,0.1930398941040039,0.015801048916707715,0.8087407548138583,0.0031979998894294754,0.0010411279241071866,10,1684,0.7623873301291946,"{'model__colsample_bytree': np.float64(0.8087407548138583), 'model__gamma': np.float64(0.0031979998894294754), 'model__learning_rate': np.float64(0.0010411279241071866), 'model__max_depth': 10, 'model__n_estimators': 1684, 'model__subsample': np.float64(0.7623873301291946)}",0.9895313442417103,0.9931061045073568,0.9914965866206837,0.991378011789917,0.0014617963223558916,22,0.9559099437148217,0.9671361502347418,0.8676056338028169,0.9302172425841269,0.04450967755327545,25,0.95837023914969,0.9675023212627669,0.8874700718276137,0.9377808774133568,0.03576992777874387,26
1.1192131042480469,0.030436112141695178,0.12799946467081705,0.0030524710746387906,0.6999304858576277,2.630213296503227e-08,0.25829172494081126,4,1999,0.7571172192068059,"{'model__colsample_bytree': np.float64(0.6999304858576277), 'model__gamma': np.float64(2.630213296503227e-08), 'model__learning_rate': np.float64(0.25829172494081126), 'model__max_depth': 4, 'model__n_estimators': 1999, 'model__subsample': np.float64(0.7571172192068059)}",0.9956827376522418,0.9863182145835394,0.9651312348942064,0.9823773957099958,0.012780091816026969,48,0.9596622889305816,0.9492957746478873,0.8685446009389671,0.925834221505812,0.04073034596066441,34,0.9619805481874447,0.9500924214417745,0.8867313915857605,0.9329347870716599,0.033029251734385395,35
0.6404252847035726,0.04398055157898466,0.10635646184285481,0.0017641534868248646,0.7962072844310213,2.6185068507773707e-08,0.03198617182203562,6,940,0.5325257964926398,"{'model__colsample_bytree': np.float64(0.7962072844310213), 'model__gamma': np.float64(2.6185068507773707e-08), 'model__learning_rate': np.float64(0.03198617182203562), 'model__max_depth': 6, 'model__n_estimators': 940, 'model__subsample': np.float64(0.5325257964926398)}",0.9954605256196365,0.9970071094401493,0.9859595624090118,0.9928090658229326,0.004884311834260883,15,0.9624765478424016,0.9633802816901409,0.8685446009389671,0.9314671434905032,0.0444944862095615,22,0.9642857142857143,0.9636533084808947,0.8878205128205128,0.9385865118623739,0.03589791060135374,22
0.5276259581247965,0.007391137545196662,0.06766692797342937,0.0023363828006887346,0.9744427686266666,4.905556676028774,0.10057690178153984,10,1469,0.5488360570031919,"{'model__colsample_bytree': np.float64(0.9744427686266666), 'model__gamma': np.float64(4.905556676028774), 'model__learning_rate': np.float64(0.10057690178153984), 'model__max_depth': 10, 'model__n_estimators': 1469, 'model__subsample': np.float64(0.5488360570031919)}",0.9819126459809604,0.9964841486339415,0.9967367952396432,0.9917111966181817,0.006929389271765383,21,0.950281425891182,0.9474178403755869,0.8694835680751174,0.9223942781139621,0.03743178202287736,38,0.9526362823949955,0.946969696969697,0.888532477947073,0.9293794857705886,0.0289756919238213,38
0.1687304973602295,0.002428615776023927,0.06646561622619629,0.0019050151836496236,0.8421165132560784,9.148975058772306e-05,0.002005873336344495,9,134,0.954660201039391,"{'model__colsample_bytree': np.float64(0.8421165132560784), 'model__gamma': np.float64(9.148975058772306e-05), 'model__learning_rate': np.float64(0.002005873336344495), 'model__max_depth': 9, 'model__n_estimators': 134, 'model__subsample': np.float64(0.954660201039391)}",0.985376331949505,0.9919965795536457,0.9804296052352617,0.9859341722461373,0.004738643481556669,39,0.9577861163227017,0.9774647887323944,0.8366197183098592,0.923956874454985,0.062277051255341144,37,0.9604916593503073,0.9779411764705882,0.864696734059098,0.9343765232933312,0.049783371941028096,32
0.516228437423706,0.013733610167367221,0.09971904754638672,0.0028931414740672096,0.6293899908000085,0.009176996354542699,0.005917607170144194,7,665,0.7733551396716398,"{'model__colsample_bytree': np.float64(0.6293899908000085), 'model__gamma': np.float64(0.009176996354542699), 'model__learning_rate': np.float64(0.005917607170144194), 'model__max_depth': 7, 'model__n_estimators': 665, 'model__subsample': np.float64(0.7733551396716398)}",0.9883744308021148,0.9937456714392731,0.9794084182555725,0.9871761734989869,0.005914167883805693,37,0.9559099437148217,0.9586854460093897,0.8723004694835681,0.9289652864025931,0.04008409460618813,31,0.9584438549955792,0.9588014981273408,0.8906752411575563,0.9359735314268255,0.03203106099961565,30
0.16788538297017416,0.004397603533370177,0.06001734733581543,0.0016569131370570498,0.5924272277627636,5.324289357128436,0.08319514671870787,3,301,0.9474136752138245,"{'model__colsample_bytree': np.float64(0.5924272277627636), 'model__gamma': np.float64(5.324289357128436), 'model__learning_rate': np.float64(0.08319514671870787), 'model__max_depth': 3, 'model__n_estimators': 301, 'model__subsample': np.float64(0.9474136752138245)}",0.979955063788962,0.9960848609913641,0.9932068097977413,0.9897489115260226,0.007024261991641134,29,0.9015009380863039,0.9474178403755869,0.8647887323943662,0.904569170285419,0.03380288851625772,45,0.9106382978723404,0.946969696969697,0.8848,0.914135998280679,0.025500891963953696,46
