number,value,user_attrs_colsample_bylevel,user_attrs_l2_leaf_reg,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
0,0.9996643283863983,0.9049109801294232,6.536459819933681,0.28004542919338443,5,342,0.5885174949299001,COMPLETE
1,0.9995124061026016,0.7189463684460582,0.4213798260163677,0.009779572211250217,9,1364,0.7973926960267382,COMPLETE
2,0.9995454532805312,0.6464350543073123,0.35404253181654827,0.0073107844728177345,9,1064,0.5308066510961413,COMPLETE
3,0.9958177261120774,0.911080316160117,2.329955580289096,0.001705248642758464,5,1301,0.7118852265103381,COMPLETE
4,0.9961920317121633,0.7335132975150163,0.34553153988676794,0.0036134010785439223,6,397,0.9464440795261706,COMPLETE
5,0.999550105429971,0.9240785528542815,1.0614494193064592,0.008740106960304654,8,1270,0.684962558613073,COMPLETE
6,0.9996125055562524,0.5026625660499783,0.4078446828501117,0.2055571099004804,5,220,0.5775132259354072,COMPLETE
7,0.9950856194693501,0.682839274715334,0.3021102119203061,0.0018673602978059234,4,1150,0.6289318111921833,COMPLETE
8,0.9993207861817899,0.8336713499883598,0.11811581706760095,0.00239135094500168,11,942,0.5673401360897481,COMPLETE
9,0.9939931657894702,0.8020522301399406,0.11515381544162512,0.0017293044076047807,5,266,0.8863709801444691,COMPLETE
10,0.988639877162616,0.5832985548668355,0.7676436568039353,0.0017671543975906051,2,490,0.925406062708208,COMPLETE
11,0.9993407861951541,0.6060273189167681,0.5756723756726445,0.008477276979732013,9,437,0.7975646568635364,COMPLETE
12,0.9992925328323966,0.972693682379097,2.1889907536281177,0.150558540877212,3,172,0.7444435447256916,COMPLETE
13,0.999270181368952,0.9764975091397546,2.1946242714541024,0.004419841958309265,6,1603,0.5789754922486986,COMPLETE
14,0.999484123148621,0.8275223344870026,0.4190751222318309,0.17324869293191053,8,380,0.5771943033982982,COMPLETE
15,0.9956070112324288,0.5847813733758116,0.8982223729876387,0.0018885727369169782,5,926,0.8543136990128486,COMPLETE
16,0.996250866600283,0.9472656998603173,0.7537577189017327,0.0011083719940523644,10,544,0.8562083119463788,COMPLETE
17,0.9957213208880047,0.5666011317318339,1.2258285180242867,0.005810167857287019,3,1053,0.7575594419630753,COMPLETE
18,0.9952621685405906,0.7683867977301404,5.857670060959942,0.001775940215415762,5,1213,0.8001915480614756,COMPLETE
19,0.9995324420643935,0.5320698974032189,0.5202667424369998,0.027295265040960776,11,706,0.6068309990193563,COMPLETE
20,0.9987688467137991,0.6638918302444536,0.22664522564362516,0.002907120215757741,6,1253,0.7463834778239223,COMPLETE
21,0.9996243072135358,0.6165811288900138,2.562025254971714,0.011697296623168724,6,1661,0.9942990088594084,COMPLETE
22,0.9995701054433356,0.7771848218380784,2.207466440862042,0.02849618165833832,7,923,0.576209575882828,COMPLETE
23,0.9995253665680184,0.8310854142907962,3.8193487743234456,0.03885111997018167,10,1998,0.5026917282020416,COMPLETE
24,0.9995807482924857,0.8541596760420147,2.3306466478253887,0.021813169485976613,8,558,0.774170787635752,COMPLETE
25,0.9960025538947072,0.5129473884685771,0.6428895342746934,0.008161987818552626,4,415,0.9323116968525255,COMPLETE
26,0.999567798400136,0.5689567056470505,3.4518647590595823,0.010437829315413979,11,1441,0.8682475027725387,COMPLETE
27,0.9978575836815319,0.7822760415082031,0.5727019730398561,0.009467843114934404,10,105,0.5579809575899295,COMPLETE
28,0.9995489170172506,0.8252469086036083,2.2569048252971093,0.06402412175716835,9,468,0.8413423735054653,COMPLETE
29,0.9995218499659645,0.5339508387166676,1.982136422405764,0.10161468287350045,11,607,0.6884137706021847,COMPLETE
30,0.9963390132017936,0.8580463640147589,0.6830713379841015,0.0402462090562147,2,434,0.7388936155034206,COMPLETE
31,0.9945182232348456,0.6495930720170502,0.850855682500018,0.020897948973238677,2,559,0.6447370162303601,COMPLETE
32,0.9973668220932878,0.9488182988857881,2.238113407980874,0.003177782160336849,7,638,0.6328594576264707,COMPLETE
33,0.9995807186878984,0.7844593997177871,0.4519710165976888,0.023380914427946643,6,711,0.9603186997951041,COMPLETE
34,0.9996242881820153,0.5446809717246693,9.018642640105805,0.11814306153927988,6,1426,0.6869574872279469,COMPLETE
35,0.9992960705805842,0.833492997694727,4.613375064217661,0.00890947090308304,6,1117,0.8080963936741963,COMPLETE
36,0.9993254806234972,0.7534816463301827,0.5698554313460023,0.0015287376132411253,11,1750,0.7804072956113459,COMPLETE
37,0.9971878792796994,0.7813872035401598,0.6458610059553973,0.0017740085455896823,5,1788,0.7968096117690153,COMPLETE
38,0.9993183416887206,0.7658159180256572,8.237751223331056,0.006911350439331977,9,1739,0.974241168887685,COMPLETE
39,0.9977996612490864,0.5691786901487679,4.421438868488144,0.025775184863223714,2,1302,0.8729980993291904,COMPLETE
40,0.9995100525379078,0.6877152338900234,0.6222936088339077,0.031034985968917003,10,508,0.5477631152569041,COMPLETE
41,0.9928787264742601,0.9325718197127927,2.05481377684034,0.008218487758600427,2,1038,0.8549208594351121,COMPLETE
42,0.9995771872835508,0.8424824885107391,9.19218101748511,0.03266810199010932,9,1756,0.635403559886796,COMPLETE
43,0.9886801721779116,0.5118517818601176,0.8255231733580584,0.003958995865605126,2,637,0.78480784356625,COMPLETE
44,0.9994125646317835,0.7675335574506706,1.1344814879518985,0.015529857669105997,9,286,0.7875193876300715,COMPLETE
45,0.9995053496377468,0.8606736991680544,0.5295096538787538,0.009485756474128837,11,1992,0.5098241172630471,COMPLETE
46,0.9877681616298141,0.973278633386483,0.15812946233699388,0.0025027835802489845,2,874,0.6178760978160817,COMPLETE
47,0.9959198566518813,0.9878968734236798,1.6024950752358094,0.09376530830092182,2,168,0.5941498088912982,COMPLETE
48,0.9995948443052881,0.6372460790371646,0.8875820922172082,0.24369105439502442,2,1099,0.634653601320772,COMPLETE
49,0.9994970899578778,0.6741612304798548,0.35593837374212517,0.014920091303934062,8,1156,0.5844264456742033,COMPLETE
