iter	Logloss
111	0.2892042956
112	0.2891100926
113	0.2889705459
114	0.288852357
115	0.2887594686
116	0.2886252361
117	0.2885367788
118	0.2884032782
119	0.2882706787
120	0.2881048272
121	0.2879683967
122	0.2878391224
123	0.2876656408
124	0.2875622732
125	0.2873027679
126	0.2871938745
127	0.2868756456
128	0.2867616546
129	0.2865930352
130	0.2865283866
131	0.2863378787
132	0.2862415971
133	0.2861368251
134	0.2860488264
135	0.2859257154
136	0.2857144251
137	0.2854018417
138	0.2851450187
139	0.2850012013
140	0.2849029142
141	0.2847743069
142	0.2846666891
143	0.2844639717
144	0.2843205965
145	0.2841809512
146	0.283915423
147	0.283836035
148	0.2837293646
149	0.2836168283
150	0.2834662663
151	0.2833560853
152	0.2833001116
153	0.2832227427
154	0.2829159514
155	0.2828464783
156	0.2827193461
157	0.2826761332
158	0.2825897822
159	0.2822481419
160	0.2821319302
161	0.2820678638
162	0.2819763033
163	0.2817552984
164	0.2816686717
165	0.2815932138
166	0.281470179
167	0.2813749368
168	0.2813126232
169	0.281249624
170	0.2811249799
171	0.2810508402
172	0.2809422176
173	0.2808267988
174	0.2807628092
175	0.2806907632
176	0.280585745
177	0.2804681809
178	0.2803874185
179	0.2801189442
180	0.2798813551
181	0.2797284195
182	0.2796647229
183	0.2795596873
184	0.2794628758
185	0.2793630981
186	0.2792832358
187	0.2791834164
188	0.2791217164
189	0.2790595345
190	0.2789923077
191	0.2789129618
192	0.2788225011
193	0.2787592931
194	0.2787090523
195	0.2785333378
196	0.2784578535
197	0.2783755408
198	0.2782801654
199	0.2780393286
200	0.2779798449
201	0.2779035282
202	0.2778321843
203	0.2777829112
204	0.2776924861
205	0.2773241535
206	0.277136782
207	0.2770802346
208	0.2769900937
209	0.2768812838
210	0.2766993589
211	0.276563976
212	0.2764972504
213	0.2764049215
214	0.2762681853
215	0.276069459
216	0.2759740631
217	0.2758991988
218	0.275746839
219	0.2756289031
220	0.2755626544
221	0.2755007637
222	0.27538657
223	0.2752930934
224	0.275221344
225	0.275166722
226	0.2750484286
227	0.2749887248
228	0.2749312259
229	0.2748279101
230	0.2745790871
231	0.2745198272
232	0.2744355809
233	0.2741602168
234	0.2741041247
235	0.2740537516
236	0.2738588822
237	0.2736417788
238	0.2735491554
239	0.2734891901
240	0.2734240488
241	0.2732985681
242	0.2732483552
243	0.2731516072
244	0.2729462689
245	0.2728842277
246	0.2727912961
247	0.2727107
248	0.2725745188
249	0.2724864683
250	0.2723747013
251	0.2723262017
252	0.2722128599
253	0.2721103954
254	0.2720372183
255	0.2719090292
256	0.2718100287
257	0.2717450345
258	0.2716847125
259	0.2715438406
260	0.271449411
261	0.2713850719
262	0.2712922524
263	0.2711840642
264	0.2710872683
265	0.2709747285
266	0.2706759901
267	0.2703784554
268	0.2703016399
269	0.2700079092
270	0.2699492199
271	0.2697729031
272	0.2696745845
273	0.2696019317
274	0.2694974206
275	0.2694406836
276	0.2693673182
277	0.2693090513
278	0.2692370682
279	0.2691448344
280	0.2689985467
281	0.2689045633
282	0.2688402185
283	0.2687606454
284	0.2685906491
285	0.2685399858
286	0.268461494
287	0.2683929704
288	0.2683276957
289	0.2682650902
290	0.2682247184
291	0.268132911
292	0.2680450072
293	0.2679819429
294	0.2679457222
295	0.2678712744
296	0.2676466081
297	0.2675972787
298	0.2674975762
299	0.2674366799
300	0.2673689232
301	0.2672812122
302	0.2672233574
303	0.2671624208
304	0.267078363
305	0.2670147002
306	0.2669461403
307	0.2668839769
308	0.2668119936
309	0.2667113876
310	0.2666799025
311	0.2666149666
312	0.2665456996
313	0.2664907198
314	0.2664089156
315	0.2663424455
316	0.2662306255
317	0.2661844806
318	0.2661122015
319	0.2659894642
320	0.2659158082
321	0.2658513309
322	0.2658090267
323	0.2657488446
324	0.2657029588
325	0.2656184494
326	0.2655586214
327	0.2654972919
328	0.2654128943
329	0.2653507154
330	0.2652972153
331	0.2652445316
332	0.2651897598
333	0.265120199
334	0.2650671665
335	0.2649762578
336	0.2649210566
337	0.2648736395
338	0.2648182731
339	0.2647737152
340	0.2647116104
341	0.2646189834
342	0.2645673761
343	0.2644895385
344	0.2643629554
345	0.2642998947
346	0.2642315285
347	0.2641689395
348	0.2641256583
349	0.2640624397
350	0.2640104958
351	0.2639509447
352	0.2639034785
353	0.2638531628
354	0.2638014051
355	0.2637333411
356	0.2636865935
357	0.2635967589
358	0.2635312154
359	0.2634943485
360	0.2634479281
361	0.2633843775
362	0.2633342856
363	0.2632585671
364	0.2632251251
365	0.2631989745
366	0.2631553103
367	0.2631092078
368	0.2630595794
369	0.2630048953
370	0.2629528581
371	0.2629036745
372	0.2628502035
373	0.2627737631
374	0.2627181519
375	0.2626513375
376	0.2625561014
377	0.2625126917
378	0.262459075
379	0.2623939945
380	0.2623344565
381	0.2622814514
382	0.2622414567
383	0.2621825102
384	0.2621450483
385	0.2620490598
386	0.2619906747
387	0.261937456
388	0.2619142651
389	0.2618501862
390	0.2617908145
391	0.2617391588
392	0.2616861481
393	0.2615120929
394	0.2614691865
395	0.2614221668
396	0.2613818549
397	0.2613398765
398	0.2613122799
399	0.2612581747
400	0.2612075887
401	0.2611550753
402	0.2611152882
403	0.2610673314
404	0.2610016542
405	0.2609501469
406	0.2608772732
407	0.2608416336
408	0.2607831009
409	0.2607314737
410	0.2606799942
411	0.2606188781
412	0.2605765293
413	0.2605226509
414	0.2604929031
415	0.2604471628
416	0.2603725848
417	0.2603487964
418	0.2602782271
419	0.2602411314
420	0.2601981643
421	0.2601359855
422	0.260062693
423	0.2600402888
424	0.2599936506
425	0.2599177555
426	0.2598469238
427	0.2598159286
428	0.2597613964
429	0.2596824105
430	0.2596405694
431	0.2595884466
432	0.2595487469
433	0.2595090878
434	0.2594729693
435	0.2594141998
436	0.2593527076
437	0.2592923519
438	0.2592359067
439	0.2591852911
440	0.2591419609
441	0.2590766496
442	0.2590378235
443	0.2589955263
444	0.2589401213
445	0.2588921103
446	0.2588122205
447	0.2587680111
448	0.258718886
449	0.2586323983
450	0.2585689633
451	0.2585254042
452	0.2584823676
453	0.2584384176
454	0.258402032
455	0.258327056
456	0.2582860318
457	0.258242684
458	0.2581704746
459	0.2581465803
460	0.2580878746
461	0.2580402447
462	0.2580007271
463	0.2579247071
464	0.2578861022
465	0.2578199493
466	0.2577790814
467	0.2577486754
468	0.2577278173
469	0.2577102773
470	0.2576690237
471	0.2576370735
472	0.2575875979
473	0.2575388285
474	0.2574880875
475	0.2574526006
476	0.2573793588
477	0.2573435723
478	0.2573064061
479	0.2572766595
480	0.2572348969
481	0.2571818083
482	0.2571631507
483	0.2571086809
484	0.2570540879
485	0.2570292146
486	0.2569853313
487	0.2568393706
488	0.2567857372
489	0.2567386269
490	0.2566998007
491	0.2566576055
492	0.256630871
493	0.2566046639
494	0.2565555643
495	0.2565076823
496	0.2564582152
497	0.2564095626
498	0.2563678472
499	0.2562985244
500	0.256240921
501	0.2561942077
502	0.2561660947
503	0.2561223289
504	0.2560789045
505	0.256018795
506	0.255985224
507	0.2559516554
508	0.2557857933
509	0.2557467165
510	0.2557129339
511	0.255656612
512	0.2556224433
513	0.2555793938
514	0.255533008
515	0.2555123054
516	0.2554834175
517	0.2554516928
518	0.2554004269
519	0.2553572735
520	0.2553276269
521	0.2552400438
522	0.2551759764
523	0.2551514387
524	0.2551185339
525	0.2550608704
526	0.25502277
527	0.2549979272
528	0.254953431
529	0.2548909288
530	0.2548630295
531	0.2547762286
532	0.2547338324
533	0.2547005775
534	0.2546695546
535	0.2546403233
536	0.2545799877
537	0.2545472402
538	0.2545192818
539	0.2544160286
540	0.2543883976
541	0.2543282558
542	0.2542711495
543	0.2542438739
544	0.2541957013
545	0.2541480134
546	0.2541053755
547	0.2540724242
548	0.2540296147
549	0.2539719613
550	0.2539415043
551	0.2538895542
552	0.2538260116
553	0.2537758389
554	0.2537464978
555	0.2537117468
556	0.2536339165
557	0.2536047022
558	0.2535590836
559	0.2535350641
560	0.2534946132
561	0.2534344048
562	0.2534013071
563	0.2533651079
564	0.2533123123
565	0.2532623268
566	0.2531875649
567	0.2531580185
568	0.2531145876
569	0.2530713403
570	0.2529999394
571	0.2529605224
572	0.25288929
573	0.2528198378
574	0.252787121
575	0.2527473002
576	0.2526890105
577	0.2526391026
578	0.2526114789
579	0.252566029
580	0.2525184047
581	0.2524817172
582	0.2524444944
583	0.2523958461
584	0.2523539005
585	0.2523178139
586	0.2522862873
587	0.2522738783
588	0.2522271891
589	0.252170481
590	0.2521240447
591	0.2520852452
592	0.2520451962
593	0.2519675468
594	0.2519193924
595	0.2518521024
596	0.2517966901
597	0.2517612864
598	0.2517292801
599	0.2516996126
600	0.2516632249
601	0.2516315299
602	0.2515940487
603	0.2515497441
604	0.2515142241
605	0.2514445627
606	0.25139778
607	0.2513563845
608	0.2512874586
609	0.2512351876
610	0.2512059956
611	0.2511885726
612	0.2511630147
613	0.2511293672
614	0.2511030764
615	0.2510741385
616	0.2510158198
617	0.2509723216
618	0.2509298186
619	0.2509081628
620	0.2508926941
621	0.2508622281
622	0.2508294717
623	0.2507804379
624	0.2506734942
625	0.2506453096
626	0.2506193746
627	0.25058901
628	0.2505505489
629	0.2505179851
630	0.2504852162
631	0.2504440047
632	0.250416098
633	0.2503647644
634	0.250338422
635	0.2502718908
636	0.2502127668
637	0.2501822685
638	0.2501538963
639	0.2501181861
640	0.2500639248
641	0.2500370906
642	0.249975665
643	0.2499117457
644	0.2498689012
645	0.2498454341
646	0.2498193157
647	0.2497262216
648	0.249687627
649	0.2496411919
650	0.2496185924
651	0.2495888142
652	0.2495549987
653	0.2495177003
654	0.249469479
655	0.2494299276
656	0.2493754918
657	0.2493438487
658	0.2493123866
659	0.2492279168
660	0.2491793761
661	0.2491537254
662	0.2491023718
663	0.2490749589
664	0.2490130592
665	0.2489716058
666	0.2489380112
667	0.2489049467
668	0.248861529
669	0.2487922944
670	0.2487447015
671	0.2487073656
672	0.2486615026
673	0.2486274121
674	0.2486011869
675	0.2485500543
676	0.2485211339
677	0.2484964642
678	0.2484550647
679	0.2484048303
680	0.2483571735
681	0.2483135769
682	0.248261629
683	0.2482163505
684	0.2481701694
685	0.2481298403
686	0.2481111726
687	0.2480883232
688	0.2480529309
689	0.2480323974
690	0.2479892927
691	0.247960097
692	0.2479366754
693	0.2479083708
694	0.2478830112
695	0.2478315874
696	0.247788655
697	0.2477452199
698	0.2477127351
699	0.2476710925
700	0.247638079
701	0.2476143095
702	0.2475832517
703	0.2475726448
704	0.2475331372
705	0.2474841521
706	0.2474043858
707	0.2473693005
708	0.2473196234
709	0.2472472102
710	0.2472204603
711	0.247162818
712	0.2471217082
713	0.2470928639
714	0.2470763575
715	0.2470364521
716	0.2469976598
717	0.2469512534
718	0.2469061829
719	0.246881159
720	0.2468529961
721	0.2468380934
722	0.2467872785
723	0.2467552297
724	0.2467141767
725	0.2466829543
726	0.2466477241
727	0.2466129387
728	0.246595021
729	0.2465637678
730	0.2465186574
731	0.2464822327
732	0.2464524004
733	0.2464315306
734	0.2463886818
735	0.2463342827
736	0.2462980173
737	0.2462725981
738	0.2462068333
739	0.2461515344
740	0.2461177879
741	0.2460623475
742	0.2460181718
743	0.2459665217
744	0.2459423487
745	0.2458945815
746	0.245846225
747	0.2458009108
748	0.2457645756
749	0.2457343761
750	0.2456904469
751	0.245627028
752	0.2455723085
753	0.2455587233
754	0.2455335539
755	0.2455102227
756	0.2454686064
757	0.2454334884
758	0.2453885733
759	0.2453446635
760	0.2452929459
761	0.2452670929
762	0.2452486129
763	0.2452266782
764	0.2451896604
765	0.2451477299
766	0.2451278881
767	0.2450924423
768	0.2450810428
769	0.2450252828
770	0.2449956687
771	0.2449724084
772	0.2449475052
773	0.2449095674
774	0.2448410419
775	0.2447722561
776	0.2447514982
777	0.2447160522
778	0.2446630145
779	0.2446137139
780	0.2445528177
781	0.2445124893
782	0.2444927158
783	0.2444662693
784	0.2444263449
785	0.2443872959
786	0.2443598947
787	0.2442959325
788	0.244282338
789	0.2442506885
790	0.2442145877
791	0.2441865849
792	0.2441649982
793	0.2441546332
794	0.2441221811
795	0.2440780203
796	0.2439978925
797	0.2439506518
798	0.2439373491
799	0.2438964699
800	0.2438571897
801	0.243810516
802	0.2437807933
803	0.2437270677
804	0.2436743277
805	0.243630843
806	0.2436040155
807	0.2435677773
808	0.2435221103
809	0.2434974023
810	0.2434361845
811	0.2434181435
812	0.243375626
813	0.2433291163
814	0.2433025205
815	0.2432682242
816	0.2432292262
817	0.2432145724
818	0.2431778833
819	0.2431171463
820	0.2430837131
821	0.2430476601
822	0.2430019092
823	0.2429545615
824	0.2429273889
825	0.2428787844
826	0.2428251234
827	0.2427990022
828	0.2427661828
829	0.2427209253
830	0.2426815354
831	0.2426464277
832	0.2425839104
833	0.2425589613
834	0.242535633
835	0.2425076967
836	0.2424665956
837	0.2424297992
838	0.2424031301
839	0.2423648158
840	0.2423399376
841	0.2423120005
842	0.2422792881
843	0.2422407954
844	0.2421978976
845	0.242153962
846	0.2420868624
847	0.2420552335
848	0.2420201421
849	0.2419962345
850	0.2419726198
851	0.2419498516
852	0.2419212635
853	0.2419003616
854	0.2418630039
855	0.2418244417
856	0.2417731506
857	0.2417482733
858	0.2417180082
859	0.2416853284
860	0.2416389792
861	0.2415975713
862	0.2415657934
863	0.2415475541
864	0.2414990101
865	0.2414865216
866	0.2414397138
867	0.2414023827
868	0.2413747389
869	0.2413414643
870	0.2412971759
871	0.2412785629
872	0.2412677692
873	0.2412409744
874	0.2412189463
875	0.241181115
876	0.2411500248
877	0.2411199256
878	0.2410856466
879	0.2410456717
880	0.2410060998
881	0.2409613873
882	0.2409348909
883	0.2408970428
884	0.2408494689
885	0.2408181014
886	0.2408008678
887	0.2407528748
888	0.240702388
889	0.240671931
890	0.2406422759
891	0.2406099787
892	0.2405814114
893	0.2405697255
894	0.240547162
895	0.2405139237
896	0.2404652711
897	0.2404116764
898	0.2403903686
899	0.2403632274
900	0.240325314
901	0.2403102799
902	0.2402896812
903	0.240259469
904	0.2402103833
905	0.2401828284
906	0.2401597579
907	0.2401024726
908	0.2400857992
909	0.240061729
910	0.2400280341
911	0.239999725
912	0.2399419555
913	0.2398995774
914	0.2398785378
915	0.2398298624
916	0.2397972171
917	0.2397685938
918	0.2397354722
919	0.2396944285
920	0.2396412688
921	0.2395974583
922	0.239553803
923	0.2395171624
924	0.2394648432
925	0.239440649
926	0.2394152683
927	0.2393593451
928	0.2393315721
929	0.2393165627
930	0.2392720394
931	0.2392306074
932	0.2392073612
933	0.239172083
934	0.239124383
935	0.2390871224
936	0.2390581325
937	0.2390263141
938	0.2389651651
939	0.2389480287
940	0.2389152945
941	0.2388876971
942	0.2388492393
943	0.238830415
944	0.2388014125
945	0.2387695891
946	0.2387352643
947	0.2387018429
948	0.2386738679
949	0.2386553329
950	0.2386223331
951	0.2385987781
952	0.2385732493
953	0.2385232818
954	0.2384869966
955	0.2384546866
956	0.2384420387
957	0.2384069243
958	0.2383738545
959	0.2383394257
960	0.2383233258
961	0.2382796276
962	0.2382387455
963	0.2382146618
964	0.238180759
965	0.2381367652
966	0.2381166136
967	0.238069936
968	0.2380292785
969	0.2380022613
970	0.2379450285
971	0.2379000817
972	0.2378714912
973	0.2378460137
974	0.2378167971
975	0.2377942397
976	0.2377694945
977	0.2377347886
978	0.2377181286
979	0.2376923729
980	0.2376595022
981	0.2376076265
982	0.2375732841
983	0.2375522565
984	0.2375097439
985	0.2374842624
986	0.2374480921
987	0.2374364307
988	0.2374115092
989	0.237376029
990	0.2373521232
991	0.2373093958
992	0.237272118
993	0.2372094671
994	0.2371724926
995	0.237149846
996	0.2371298542
997	0.2371161531
998	0.237090222
999	0.2370488022
